#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4770.4229041085155    All      0.4626774521405573         0.47259141184010645       -0.16191890292331262       -0.003996394137115514     
Zeropoint     AB|SDSS|SDSS_g            3650.7377719174156    All      -1.0004993989072126        0.2992359178689341        -0.6616341314452749        0.39384086018506326       
Zeropoint     AB|SDSS|SDSS_i            5784.971556239134     All      1.363188875615958          0.20177921163000434       0.5855194986322791         -0.3521802907730721       
Zeropoint     AB|SDSS|SDSS_z            6877.8489529337785    All      0.16998110411213974        0.025292687985079         0.2435478726911324         -0.03626135425679987      
Check         All|All|All               All                   All      0.9953480329614421         0.9988992293241239        0.005514336954824034       0.0014028210180757755     
Lambda        AB|SDSS|SDSS_r            4770.4229041085155    All      -0.00016178046920204775    -2.032752945089812e-05    -0.0006444711406174827     1.7316089083568242e-05    
Lambda        AB|SDSS|SDSS_g            3650.7377719174156    All      -0.001960660618715754      0.00047249183177619475    -0.0021667619125568223     0.0006958651688832782     
Lambda        AB|SDSS|SDSS_i            5784.971556239134     All      -0.00041335668275405753    -7.681075357785983e-05    -0.00027197117782930215    9.748725661680239e-05     
Lambda        AB|SDSS|SDSS_z            6877.8489529337785    All      -7.533980231571279e-05     -8.702753533848567e-06    -8.278069859990551e-05     1.8011756701523504e-05    
MWEBV         All|All|All               All                   All      -0.538245631680057         -2.8646780242086223       0.13690554970057534        -0.751686101700191        
Redshift      All|All|All               All                   All      6.0070662906928725         -0.7641595657892353       -2.813740179280367         -2.3311753293301365       
