#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4770.4229041085155    All      0.45856385558240487       0.4737368319249313         0.11054867132463814        0.009875617040391499       
Zeropoint     AB|SDSS|SDSS_g            3650.7377719174156    All      -0.9875466989668196       0.3703138633740721         -0.1462823826160127        0.43577194655455964        
Zeropoint     AB|SDSS|SDSS_i            5784.971556239134     All      1.370681165668511         0.1383497958499902         -0.11420377429556651       -0.40650725957557443       
Zeropoint     AB|SDSS|SDSS_z            6877.8489529337785    All      0.15498200604491164       0.016728116515629665       0.15408639662275944        -0.03815767204949966       
Check         All|All|All               All                   All      0.9966803283290078        0.9991286076646233         0.004148911035818353       0.0009826319698770791      
Lambda        AB|SDSS|SDSS_r            4770.4229041085155    All      -8.840708978240643e-05    -4.034078408972553e-05     -0.0008210432116389883     -2.0982610521778664e-05    
Lambda        AB|SDSS|SDSS_g            3650.7377719174156    All      -0.0019779668980475494    0.000559270607016636       -0.0014172624752066985     0.0007632158130165692      
Lambda        AB|SDSS|SDSS_i            5784.971556239134     All      -0.0003543064869978407    -1.6629165358081482e-05    0.00023047895187982466     0.00012027782998283231     
Lambda        AB|SDSS|SDSS_z            6877.8489529337785    All      -8.689184427876794e-05    -1.1332415820882417e-05    -0.00011159601321960001    1.9632174152052223e-05     
MWEBV         All|All|All               All                   All      -0.5340694560850738       -2.8720665095166353        0.0916531991884242         -0.7574724967891685        
Redshift      All|All|All               All                   All      6.184179586663383         -0.9014989541848095        -3.0321205552879045        -2.4433482270106306        
