#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4678.642956527864    All      -1.2180729064052809        1.3447659033414716         -0.9323671210526417       0.7931936528216745        
Zeropoint     AB|PS|PS_z                8270.551366678139    All      0.17907235884115258        -0.2936844326357324        -0.48107003425065226      -0.1754603863743402       
Zeropoint     AB|PS|PS_i                7196.514680572729    All      0.7494922978243038         0.39504788575763783        -0.6251256501905263       -0.1433506925546476       
Zeropoint     AB|PS|PS_r                5941.558940823943    All      1.302213757059618          -0.46057370041703294       2.142785210767204         -0.4785752063848677       
Check         All|All|All               All                  All      1.0127055073197935         0.9855556560463441         0.10422240527338378       -0.004192632492181048     
Lambda        AB|PS|PS_g                4678.642956527864    All      -0.00048486354078670663    0.0005782364763437675      -0.0005184813717044012    0.00032314920821073983    
Lambda        AB|PS|PS_z                8270.551366678139    All      0.00014958336815203206     -0.00019960212250638696    -0.0003195558667270496    -0.0001280015128338843    
Lambda        AB|PS|PS_i                7196.514680572729    All      1.838969943613076e-05      -6.712899985054632e-05     -0.0007500136377121425    -6.132591780235851e-05    
Lambda        AB|PS|PS_r                5941.558940823943    All      -0.0004624873163068567     0.0003827846413252271      -0.0019266417256080257    0.00018935571375367565    
MWEBV         All|All|All               All                  All      -0.7053910574894946        -3.942947959258447         -0.263307303400964        -1.0663289909885618       
Redshift      All|All|All               All                  All      11.556618101732926         -5.97072594435657          22.335990615465946        -4.71247991262888         
