#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4678.642956527864    All      -1.0560072164993564       0.7575834791987646         -0.5839333070398744        0.5646878933660124         
Zeropoint     AB|PS|PS_z                8270.551366678139    All      0.19703824624576605       -0.27979189577109764       -0.3533583534565121        -0.171088024899155         
Zeropoint     AB|PS|PS_i                7196.514680572729    All      0.9189269115845144        -0.3395377097306529        -0.28733011888126825       -0.42274555296478866       
Zeropoint     AB|PS|PS_r                5941.558940823943    All      0.9420774799316588        0.8421632429119974         1.2299975797779084         0.022343788732870393       
Check         All|All|All               All                  All      1.0020354212625828        0.9804171166090114         0.005375800400253539       -0.006801895765060809      
Lambda        AB|PS|PS_g                4678.642956527864    All      -0.0005152870547908428    0.00045634539798280907     -0.0003856830443946811     0.00029928139273341386     
Lambda        AB|PS|PS_z                8270.551366678139    All      0.00013206225753538954    -0.00014403581157900277    -0.00018513035271756326    -9.819574183605814e-05     
Lambda        AB|PS|PS_i                7196.514680572729    All      0.0001440357825291305     -0.00040619313779807374    -0.0006121508743237764     -0.00020654514335816343    
Lambda        AB|PS|PS_r                5941.558940823943    All      -0.0003196264321605894    7.028127083872668e-05      -0.001243250391581331      7.152521151552892e-05      
MWEBV         All|All|All               All                  All      -0.6723571644728241       -4.051346591531502         -0.1790770610612169        -1.1086394086071871        
Redshift      All|All|All               All                  All      9.382080778942983         -4.241123438012107         13.046487138158968         -3.8553210029404927        
