#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                    dc/dP                     
Zeropoint     AB|DECam|DECam_i          4954.020546403121     All      0.8680739373673623         0.36805222597795506        0.8780443890799239       -0.12369043325259205      
Zeropoint     AB|DECam|DECam_z          5805.383470704055     All      1.5577493374960745         0.09887411366964471        0.13802196122918442      -0.4690443697518018       
Zeropoint     AB|DECam|DECam_r          4077.8023651859585    All      -1.0167033664918228        0.41190530387353874        -1.3338623417529227      0.4058206936629352        
Zeropoint     AB|DECam|DECam_g          3068.152321112598     All      -0.3206408659315779        0.10405484736484283        0.37614903991709525      0.15512316995604652       
Check         All|All|All               All                   All      1.088479042440036          0.9828864908859813         0.05835304847328082      -0.03179093938541211      
Lambda        AB|DECam|DECam_i          4954.020546403121     All      -0.00022656334529970747    -0.00014436806887826645    -0.001720612136063702    -5.00093114720802e-05     
Lambda        AB|DECam|DECam_z          5805.383470704055     All      -0.0003466681303914556     2.0520129346893244e-06     0.0004030341039883823    0.0001315751842255874     
Lambda        AB|DECam|DECam_r          4077.8023651859585    All      -0.0001958223181530824     0.00017425458589705897     7.745301957143629e-05    0.00012400259535225673    
Lambda        AB|DECam|DECam_g          3068.152321112598     All      -0.0004122314111431064     0.00015468339941399544     0.0009527843950719795    0.00022718119631334304    
MWEBV         All|All|All               All                   All      -0.2524342488430289        -2.165457943329052         0.12653177449788444      -0.6174882219478219       
Redshift      All|All|All               All                   All      3.0217010629643872         0.559907300097251          1.1506008968119597       -0.7505411856690222       
