#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5501.220392917756     All      0.5746070500447088         0.14650803179776517        -6.251387632310359         -0.4184166527275124        
Zeropoint     AB|SDSS|SDSS_g            3471.6701516720514    All      -1.2620521848698778        0.17763249583211405        -3.293829055825713         0.32196420197194436        
Zeropoint     AB|SDSS|SDSS_r            4536.435055522492     All      1.574322770246667          0.6531777584591225         9.404070038228634          0.11961321936474872        
Zeropoint     AB|SDSS|SDSS_z            6540.492472859322     All      0.11766764494879306        0.021617359839609662       0.2240423961903713         -0.021288754668111573      
Check         All|All|All               All                   All      1.004545280370291          0.9989356459286114         0.08289574628293234        0.001872013941069131       
Lambda        AB|SDSS|SDSS_i            5501.220392917756     All      8.143162222605047e-05      2.1804264966253223e-05     -0.00019732815901939404    -2.8228441382884118e-05    
Lambda        AB|SDSS|SDSS_g            3471.6701516720514    All      -0.0018506740439734055     0.00020391337640022613     -0.007276032617469679      0.0003445507986255002      
Lambda        AB|SDSS|SDSS_r            4536.435055522492     All      -0.0005392381556863506     -0.00022029462811517256    -0.0032776491351074783     -4.237602734154609e-05     
Lambda        AB|SDSS|SDSS_z            6540.492472859322     All      -3.1012604111794735e-05    -5.968694436375147e-06     -7.86112936598232e-05      4.64956431401427e-06       
MWEBV         All|All|All               All                   All      -0.7670071490309778        -2.672605026912933         -0.9087723330805441        -0.661270256519215         
Redshift      All|All|All               All                   All      8.921298632234354          1.2843684609283201         33.07797638429924          -1.0114812399534323        
