#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5501.220392917756     All      0.37297117429647564       0.1311306800499068         -7.0400094729673235       -0.39293869447657725       
Zeropoint     AB|SDSS|SDSS_g            3471.6701516720514    All      -1.3206251070154398       0.1544397101067574         -2.53037802450502         0.36755798950000307        
Zeropoint     AB|SDSS|SDSS_r            4536.435055522492     All      1.8660305290303647        0.6969438059027055         9.533518824678765         0.04462715174375631        
Zeropoint     AB|SDSS|SDSS_z            6540.492472859322     All      0.0752307928539724        0.015556856777010353       -0.034867504677937866     -0.02099374078756988       
Check         All|All|All               All                   All      0.993607389165373         0.9980710528363801         -0.07173617747151528      -0.0017472940203877574     
Lambda        AB|SDSS|SDSS_i            5501.220392917756     All      5.952936520399127e-05     1.6924137377942134e-05     0.0011884709500496454     3.9158075677769485e-05     
Lambda        AB|SDSS|SDSS_g            3471.6701516720514    All      -0.0008777672526955442    0.00015311783846336783     -0.0007546544642741983    0.0003021164265646081      
Lambda        AB|SDSS|SDSS_r            4536.435055522492     All      -0.0011198962926056563    -0.00037639636534127723    -0.008020580572743519     -0.00011573928703631371    
Lambda        AB|SDSS|SDSS_z            6540.492472859322     All      -5.017366816012802e-05    -1.0649499372094014e-05    -0.0002664223834230501    9.85114742370078e-07       
MWEBV         All|All|All               All                   All      -0.8941246677275463       -2.6746340511021316        -1.2704480390755002       -0.6366647442110518        
Redshift      All|All|All               All                   All      7.8553992887136745        2.1353524978518834         22.514810463556323        -0.8584748395291775        
