#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6147.208979025672     All      0.5789694054112011         -0.029713114370721883     0.2860860127831044         -0.18550121694809046       
Zeropoint     AB|CNIa02|SDSS_i                      7406.685197016407     All      0.27675184087681554        -0.05316728871127552      0.10744477859634394        -0.1026707475310723        
Zeropoint     AB|CNIa02|SDSS_r                      6107.725917729301     All      0.624073544678357          -0.08518129087269344      -0.34456049489270946       -0.24640378610793212       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.894132431782     All      -0.4489107357623341        0.2767688826770254        -0.2726760930600758        0.22420944419873912        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7459.4933418407945    All      0.2205968738278994         -0.026549779999118783     0.25188771362114615        -0.06926320425437171       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5427.634045281116     All      0.2711073118592692         0.13271981141000921       0.23276597890695694        -0.034690085126712344      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4331.073302035118     All      -0.35291632938731676       0.2743351026365026        0.157817044737385          0.21135907724848246        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.925359549463     All      0.2037152515438557         0.12878281981425488       -0.5982235042831796        -0.0511039256730933        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4663.266283346793     All      -0.376411564755996         0.3784454220526534        0.18107599547394493        0.2539623446868339         
Check         All|All|All                           All                   All      0.9969755982917512         0.9964405646366359        0.0016174318829165202      -0.00010209950721684624    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6147.208979025672     All      -6.177345131334116e-05     7.331775006945076e-07     -0.00019469714663474875    1.167202596907983e-05      
Lambda        AB|CNIa02|SDSS_i                      7406.685197016407     All      -1.7925957320077637e-06    -3.960673276834641e-05    -0.0003434612667108724     -2.7644407353657386e-05    
Lambda        AB|CNIa02|SDSS_r                      6107.725917729301     All      0.00012222335753661064     -6.416356279209891e-05    -0.0005092402742072394     -8.343740648048903e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.894132431782     All      -0.00029148090709312457    0.00013960473646241068    -0.00029050128478420645    0.0001274550382866772      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7459.4933418407945    All      -1.6154717751574644e-05    -1.707202420466421e-06    -8.367529301321363e-05     9.719870320188778e-07      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5427.634045281116     All      8.572861136610065e-05      4.332094736371695e-05     -0.0001332115469906911     -1.9758190859970155e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4331.073302035118     All      -0.000248734617285569      0.0001360735740091825     -0.00013341494203473526    0.00011939099160781524     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.925359549463     All      0.00010605176953248398     -9.724595632643088e-07    -0.0007951177734256908     -7.034376679318174e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4663.266283346793     All      -0.0002450403604415027     0.00010482432793280278    -0.00038304750565009045    9.68687883062681e-05       
MWEBV         All|All|All                           All                   All      -0.8698374073737964        -4.05423372730116         0.04485306846944148        -1.035261058484381         
Redshift      All|All|All                           All                   All      5.576141457230561          -0.3226121346894928       6.51343615708424           -1.6307533675568446        
