#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6147.208979025672     All      0.5551034902440098         -0.03783983944938285       0.17023787704586843        -0.18554421515899308       
Zeropoint     AB|CNIa02|SDSS_i                      7406.685197016407     All      0.2564347649801399         -0.05237935741906341       0.04416231850831398        -0.09862015790344114       
Zeropoint     AB|CNIa02|SDSS_r                      6107.725917729301     All      0.6409958011386078         -0.07458684763692602       -0.14173764208718267       -0.2394139106649765        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.894132431782     All      -0.4650569173634477        0.2932747045110595         -0.1943881732562674        0.23833890623400605        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7459.4933418407945    All      0.20422875601560667        -0.03387002669930084       0.11834618137507769        -0.0722753602171081        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5427.634045281116     All      0.28596691352058456        0.127573652345081          0.1641604774500656         -0.04426816800157805       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4331.073302035118     All      -0.3717869318577437        0.2592555744652003         0.021070462249115022       0.2064915829482322         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.925359549463     All      0.2636740653290316         0.12696659794153575        -0.392853026821017         -0.062061345948526116      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4663.266283346793     All      -0.3726837953896212        0.38823040027295974        0.2121386419076764         0.25732156013157415        
Check         All|All|All                           All                   All      0.9968761466171681         0.9966248583311632         0.00113711637165001        -3.110858081067924e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6147.208979025672     All      -1.1348766640848203e-05    -8.067400279068255e-06     -7.561925949882043e-05     -2.3056912669571503e-06    
Lambda        AB|CNIa02|SDSS_i                      7406.685197016407     All      1.868490816400183e-05      -3.4839150955191126e-05    -0.0002221636823522818     -2.7348691726858494e-05    
Lambda        AB|CNIa02|SDSS_r                      6107.725917729301     All      0.00011448522106315945     -3.238567882363039e-05     -0.00018937865640758313    -5.629178365297353e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.894132431782     All      -0.0002951427796895529     0.00012564965309037326     -0.0003310138038592994     0.00012229431324143394     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7459.4933418407945    All      1.781720729830467e-07      -4.637438109821372e-06     -5.185894197301934e-05     -3.88282906615898e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5427.634045281116     All      9.710422583478205e-05      2.7494132068197844e-05     -0.0001352879048144288     -2.871157548083419e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4331.073302035118     All      -0.00025857489038019863    0.0001222391511326452      -0.00024118869298218055    0.000113280518102373       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.925359549463     All      0.00012377283070947234     1.4539650129024769e-06     -0.0005204443933382226     -6.306832168856885e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4663.266283346793     All      -0.0001519082515682717     3.9023711800970354e-05     -0.0004112322946412357     4.384141335615399e-05      
MWEBV         All|All|All                           All                   All      -0.8753874838469722        -4.0542355845119005        0.021604905251038264       -1.0344912796890997        
Redshift      All|All|All                           All                   All      5.07810553488056           0.11253111291553708        4.407586380276987          -1.4207606149404157        
