#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8454.82062228411      All      0.36051722469944114        -0.09990790945719752       -0.14171575254151836      -0.15629973689082302       
Zeropoint     AB|PS|PS_r                6073.9378590633905    All      1.2316450497456957         -0.04107822962913232       -0.9564964635890115       -0.45725188758518653       
Zeropoint     AB|PS|PS_i                7356.8542207501105    All      0.5450296814431306         -0.08262942922101502       1.1079921183266852        -0.1550046222975211        
Zeropoint     AB|PS|PS_g                4782.883897261153     All      -1.1368029181487929        1.222637167223617          0.006232403207071557      0.7688253826096999         
Check         All|All|All               All                   All      1.0003890377394744         0.9990215989162721         0.01601230540322688       0.0002691358361692764      
Lambda        AB|PS|PS_z                8454.82062228411      All      0.00040957085032464186     -9.59951665950942e-05      1.6152346913956798e-06    -0.00016460740383290388    
Lambda        AB|PS|PS_r                6073.9378590633905    All      -0.0002204342702361303     -5.3815091160112584e-06    -0.0005616971196109589    4.498379665583638e-05      
Lambda        AB|PS|PS_i                7356.8542207501105    All      -0.00011908999967244282    2.8029613742531198e-05     -0.0002522605306738143    3.666446928751188e-05      
Lambda        AB|PS|PS_g                4782.883897261153     All      -0.00036030396219857155    -0.0001682252595638607     -0.0031786274560912883    -7.928119180775104e-05     
MWEBV         All|All|All               All                   All      -0.6962294242685974        -4.050312572296999         0.11124145851768635       -1.0875710319907097        
Redshift      All|All|All               All                   All      6.05025702760653           1.8187426586068867         22.244738204415686        -0.3856629429950142        
