#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     AB|SDSS|SDSS_g            3675.314264179772    All      -1.0351510386217027       0.4321711856539068        0.04532177429291033        0.4799776245451916       
Zeropoint     AB|SDSS|SDSS_r            4802.537032516434    All      0.6150000326429981        0.3436299415550792        -0.5256157644063534        -0.11184998397771638     
Zeropoint     AB|SDSS|SDSS_z            6924.150115091656    All      0.15405364456833662       0.027396648398791967      0.2118111159567471         -0.03180419325194472     
Zeropoint     AB|SDSS|SDSS_i            5823.915549911731    All      1.2641726275921328        0.1962692643106223        0.2768721037091241         -0.3354957280369253      
Check         All|All|All               All                  All      0.9980752661817649        0.9994670399184002        0.008389229552428157       0.000827719278605199     
Lambda        AB|SDSS|SDSS_g            3675.314264179772    All      -0.0019277301593615573    0.0005758473237976278     -0.0017025066997900518     0.0007395224968364651    
Lambda        AB|SDSS|SDSS_r            4802.537032516434    All      -7.392407372181186e-05    -2.620787106133424e-05    -0.0006090958296547205     -1.1638412378573e-05     
Lambda        AB|SDSS|SDSS_z            6924.150115091656    All      -7.589804433174579e-05    -1.619487357787391e-05    -0.00013132930449692872    1.358666320449272e-05    
Lambda        AB|SDSS|SDSS_i            5823.915549911731    All      -0.0002697406395487055    -3.517954714918671e-05    0.00010969874333380635     8.129961571213363e-05    
MWEBV         All|All|All               All                  All      -0.5419884940737694       -2.8915280012062894       0.1742311180877796         -0.7575471804412034      
Redshift      All|All|All               All                  All      4.811721618164228         -0.8137252647042459       -0.2953305937514064        -1.8455723694502983      
