#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     AB|SDSS|SDSS_g            3675.314264179772    All      -0.7722785272378291       0.511823359722996          0.9279926005082428        0.4596862779252295       
Zeropoint     AB|SDSS|SDSS_r            4802.537032516434    All      0.49111407062666035       0.36145265318960895        -0.5209817870656774       -0.06548401376711699     
Zeropoint     AB|SDSS|SDSS_z            6924.150115091656    All      0.22118155082846278       0.038411760815293405       0.315800855491144         -0.04544139179507578     
Zeropoint     AB|SDSS|SDSS_i            5823.915549911731    All      1.0591223568094783        0.08754770205658957        -0.7149260081137809       -0.34837769311546474     
Check         All|All|All               All                  All      0.999139451026772         0.9992354757844879         0.007885660819928475      0.0003831792475719742    
Lambda        AB|SDSS|SDSS_g            3675.314264179772    All      -0.0019500901932487625    0.000661733124295871       -0.001993967576344636     0.0007617751659887357    
Lambda        AB|SDSS|SDSS_r            4802.537032516434    All      -0.0001519808378360483    2.1377536885844795e-05     -0.0007153881219594229    2.454403974379549e-05    
Lambda        AB|SDSS|SDSS_z            6924.150115091656    All      -4.827090906217512e-05    2.9679630465660994e-06     5.59006723864604e-05      1.918477662074472e-05    
Lambda        AB|SDSS|SDSS_i            5823.915549911731    All      -0.0001251380740813552    -1.5393570156212075e-05    0.00037724122424608877    5.258193864718479e-05    
MWEBV         All|All|All               All                  All      -0.5302268540808299       -2.8897065712945036        0.20073358383061457       -0.759602350563153       
Redshift      All|All|All               All                  All      4.30685005282167          -1.4673991762860439        -0.603823496039757        -1.9078088104446778      
