#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.4938581043576897        0.2345535094643303         0.21908542735183945        0.24704440305186384        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      1.4334950157829516         -0.04364792795250594       -0.3526077807367467        -0.49688931911934586       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.6345775146397326         0.36691640672854575        -0.47183102727569315       -0.10824168034135398       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      0.4479729924639854         -0.1118883264913606        1.1328016597941248         -0.13181351516728043       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -1.0170508448188376        0.5473801709662496         -0.4976284764078409        0.48737977671570454        
Check         All|All|All                      All                  All      1.0051365737101423         0.9933138327152591         0.02981980272568352        -0.0025203348604119213     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.0002572335780572298     0.00010082266523395712     -1.1434060276536667e-05    0.00011612044854504932     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      -0.0003536602194588111     8.963162295665431e-06      -0.00020129260985394       0.00010913560071807387     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      4.2798114381616957e-05     0.00010437818561551972     -0.0008012106549069623     -1.5695696576010128e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      -0.00021848641024965905    6.000740701145126e-05      -0.000572965582985272      6.514577602349447e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.00031296534918830166    -2.2527037098734925e-05    -0.0022775012626058827     -7.029107780924849e-06     
MWEBV         All|All|All                      All                  All      -0.7984574054734486        -3.7955931803059784        0.04779204562046502        -0.9741329852060345        
Redshift      All|All|All                      All                  All      4.637075440393447          -0.35348764337621574       2.8862308105844448         -1.4967913559347212        
