#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.3937061876259639        0.17944458582963563       0.2789597192817769        0.19914275407075013        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      1.6224825548303472         -0.04992313093339362      -0.5288325296669386       -0.5683569193251178        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.563219182396688          0.36137360884032077       -0.3419696145509798       -0.08100827711721548       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      0.3304248153029349         -0.09771813309784605      0.8353705017637806        -0.10218149500297816       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -1.123391088712312         0.6033240583936283        -0.2275527085688392       0.552293298381762          
Check         All|All|All                      All                  All      0.9990292761916945         0.9965009890323451        0.015975368258799805      -0.00011063899279928346    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.0002450384151791879     9.698398279816299e-05     7.17700062424545e-05      0.00011461071297477758     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      -0.0004528486532865806     0.00011126879560635934    -0.0007258480978385069    0.00015136034511044447     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.00023905039838161379     0.00010204636311313852    -0.0005523554159600449    -6.927580692345323e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      -0.00027247141628631275    8.130627879411244e-05     -0.0006892175960203434    8.44804183796867e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.00047591486390543766    3.7569311465337936e-05    -0.002690329397465962     4.720164427294424e-05      
MWEBV         All|All|All                      All                  All      -0.786179080093325         -3.801322946068364        0.06129748696504114       -0.979396127120791         
Redshift      All|All|All                      All                  All      5.048294076063878          -0.8943073496618048       11.222296111977224        -1.4349012568028676        
