#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3988.3715483994647    All      -0.634818794996719         0.5778116986865811         -0.15823336307026128      0.38793241789663657       
Zeropoint     AB|DECam|DECam_r          5300.842080554206     All      0.04001379995015564        0.5458730697045056         0.4006224941115266        0.18265294835427656       
Zeropoint     AB|DECam|DECam_z          7546.570000054069     All      0.5968155493845135         -0.05541351537736716       0.2664314042275526        -0.2005628541963212       
Zeropoint     AB|DECam|DECam_i          6439.861039981093     All      0.99431666075464           -0.07093171197674053       -0.5143109163317203       -0.36993777468039946      
Check         All|All|All               All                   All      0.9963272150925904         0.997339541036979          -0.005490381062902339     8.47373741925117e-05      
Lambda        AB|DECam|DECam_g          3988.3715483994647    All      -0.0006554508114617772     0.0005713039129796623      -0.0003011163774946353    0.0003861569318321415     
Lambda        AB|DECam|DECam_r          5300.842080554206     All      4.0648732598129216e-05     2.268215807350012e-05      -0.0006034225371264891    -3.278028081790166e-05    
Lambda        AB|DECam|DECam_z          7546.570000054069     All      -0.00012620685120080802    -1.1333929621766897e-05    -0.0001988112933077501    2.854585485207797e-05     
Lambda        AB|DECam|DECam_i          6439.861039981093     All      -0.00035395581580264303    2.605677995979184e-05      1.8124537947848325e-06    0.00012386348597143986    
MWEBV         All|All|All               All                   All      -0.4658755342901908        -3.2040356702541573        0.054317817308884984      -0.8894848843624266       
Redshift      All|All|All               All                   All      6.2781391586083775         -1.053295515145436         -5.244790380384426        -2.622140376503739        
