#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          3988.3715483994647    All      -0.6165495685063286       0.4971838736413048        -0.5395053146488138       0.33870397851490097        
Zeropoint     AB|DECam|DECam_r          5300.842080554206     All      -0.011878035082126148     0.5893456839995537        0.4403582513891058        0.21548951124494703        
Zeropoint     AB|DECam|DECam_z          7546.570000054069     All      0.5995191859632083        -0.029621208226160434     0.4566743909650839        -0.1845524438524926        
Zeropoint     AB|DECam|DECam_i          6439.861039981093     All      1.0262125914699067        -0.05975321439422032      -0.3620093291503368       -0.3698896038950239        
Check         All|All|All               All                   All      0.9973041738446604        0.9971551350204777        -0.004482001444960915     -0.00024855798766854065    
Lambda        AB|DECam|DECam_g          3988.3715483994647    All      -0.0005965023438326013    0.0005151023519022717     -0.0003401427868141289    0.0003469072097528786      
Lambda        AB|DECam|DECam_r          5300.842080554206     All      3.826748141044069e-05     -8.915601363681884e-06    -0.0007859704814475621    -5.044333509199955e-05     
Lambda        AB|DECam|DECam_z          7546.570000054069     All      -8.449517973432876e-05    -4.379477508598157e-06    -8.352203790792307e-05    2.2369114994249236e-05     
Lambda        AB|DECam|DECam_i          6439.861039981093     All      -0.0002371922577218491    2.6177720323643137e-05    -9.162915895706869e-05    8.169927793758105e-05      
MWEBV         All|All|All               All                   All      -0.4622387258160541       -3.2142444808668458       -0.010784667115748547     -0.896900082881319         
Redshift      All|All|All               All                   All      6.389515313235911         -0.2041361718086776       -1.5101932807702667       -2.2151622034234904        
