#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7336.72466154174      All      0.5312541862399742         -0.15349337488990145       0.21107200405787027       -0.21362563406317506       
Zeropoint     AB|PS|PS_g                4769.7971428267465    All      -1.2025322874750697        1.231221428235063          -0.10830805809666443      0.7879203621338404         
Zeropoint     AB|PS|PS_r                6057.3185693380165    All      1.37848898418462           0.01903537424761126        -0.14279337053316335      -0.44919097775246          
Zeropoint     AB|PS|PS_z                8431.686847003857     All      0.2930480307203737         -0.09858452623836556       0.039839724059044894      -0.1257897442223616        
Check         All|All|All               All                   All      1.0002589136698978         0.9981789013544073         -0.0001897005129126092    -0.0006859939041561902     
Lambda        AB|PS|PS_i                7336.72466154174      All      -0.0001336383744509021     -1.6247329267390136e-05    -0.0010251983367833158    -7.511767738046351e-06     
Lambda        AB|PS|PS_g                4769.7971428267465    All      -0.0004848258550152759     0.0002906092313354009      -0.0010499544164978161    0.00020573007533891728     
Lambda        AB|PS|PS_r                6057.3185693380165    All      -0.00017250822093723358    1.8148596130806285e-05     -0.0010910127077171585    1.3416311436739136e-05     
Lambda        AB|PS|PS_z                8431.686847003857     All      0.00031564021604677244     -0.00011645458909606611    -0.0001317977998380145    -0.00014662902401323992    
MWEBV         All|All|All               All                   All      -0.7240722365036212        -4.047368367306969         0.01137175562876134       -1.0819994137727063        
Redshift      All|All|All               All                   All      6.596552892530568          0.3264424577056779         13.877202150591577        -1.423105452831871         
