#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7336.72466154174      All      0.5178310997146222         -0.15713143183413436       0.15675953179127844       -0.21286204419978874       
Zeropoint     AB|PS|PS_g                4769.7971428267465    All      -1.1313329835554988        1.2271353673443564         0.28150026628881997       0.7807927971926462         
Zeropoint     AB|PS|PS_r                6057.3185693380165    All      1.337151851094722          0.025201662273399705       -0.4624674346922375       -0.4479831359524948        
Zeropoint     AB|PS|PS_z                8431.686847003857     All      0.27434856359250553        -0.09746859225430171       0.014329124831397033      -0.12047363705045794       
Check         All|All|All               All                   All      0.9979985308463508         0.99773700552932           -0.00987851178074206      -0.0005260200100952739     
Lambda        AB|PS|PS_i                7336.72466154174      All      -0.00013652786872445918    -1.286647047116804e-05     -0.0009822495107135731    -3.5526986040613624e-06    
Lambda        AB|PS|PS_g                4769.7971428267465    All      -0.00047667699345650086    0.0002977835829374141      -0.00102472706402586      0.00020653842626135903     
Lambda        AB|PS|PS_r                6057.3185693380165    All      -0.0001569615033548824     3.067836243482785e-05      -0.0009853831659270027    1.7147352461795075e-05     
Lambda        AB|PS|PS_z                8431.686847003857     All      0.00033494057771508783     -0.00012623193864136334    -0.0001345957383225537    -0.0001562254503278961     
MWEBV         All|All|All               All                   All      -0.7174527959788821        -4.051632145367368         0.024997831621770272      -1.0849363669238772        
Redshift      All|All|All               All                   All      6.43318630186019           0.3134366998232885         14.20012918970449         -1.3597172322629925        
