#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|WFC3|WFC3_f160w        6125.514095073384    All      0.9475425126520927        0.18055964003625968       -0.29306038323431427       -0.26290949352408277       
Zeropoint     AB|WFC3|WFC3_f125w        4990.533672982026    All      0.5452145546522665        0.7162893820877092        0.35952498803248634        0.07176864846771772        
Zeropoint     AB|ACSWF|F775W            3067.761900126707    All      -0.6111035991449683       0.09651039974609699       -0.3409758899465931        0.21527697132520587        
Zeropoint     AB|ACSWF|F850LP           3603.292351166068    All      0.07117486098281986       0.0031318882272368676     0.24760441148597157        -0.0111143870951156        
Check         All|All|All               All                  All      0.9528283291422107        0.9964913100973027        -0.026906873662449482      0.01302173917372522        
Lambda        AB|WFC3|WFC3_f160w        6125.514095073384    All      3.808714640587053e-05     -9.093144513187913e-06    -0.00033160515597215057    -3.0166188041447257e-05    
Lambda        AB|WFC3|WFC3_f125w        4990.533672982026    All      0.0002850202914050728     -6.869222864879061e-05    3.132863868118346e-05      -0.0001138177513206975     
Lambda        AB|ACSWF|F775W            3067.761900126707    All      0.00041779134153404083    0.00028502558398363364    -0.00017499244026821168    -5.105528399581505e-05     
Lambda        AB|ACSWF|F850LP           3603.292351166068    All      0.0008691578016997012     5.4082904427150876e-05    0.002617544837696546       -0.000148687705051506      
MWEBV         All|All|All               All                  All      0.5193454053972978        -0.9515535878321657       -0.16740795998630986       -0.48659084161159216       
Redshift      All|All|All               All                  All      1.9049578918120331        -0.39567425270981005      -7.753768627509672         -1.0954066600946804        
