#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                    dc/dP                      
Zeropoint     AB|WFC3|WFC3_f160w        6125.514095073384    All      0.7870963707500706         0.015322271529072395       -1.960814738617172       -0.3388943708180947        
Zeropoint     AB|WFC3|WFC3_f125w        4990.533672982026    All      0.74948676528839           0.8479440153227102         3.3229315524859295       0.1803579389983364         
Zeropoint     AB|ACSWF|F775W            3067.761900126707    All      -0.3746637894890039        0.14772509132754408        0.22012186048631546      0.17998227221601734        
Zeropoint     AB|ACSWF|F850LP           3603.292351166068    All      -0.17394582566611927       -0.009171145301678507      -1.552309984839959       -0.01559993080085787       
Check         All|All|All               All                  All      0.9879735208833372         1.0018202328776482         0.02992868951511407      0.005845909595401178       
Lambda        AB|WFC3|WFC3_f160w        6125.514095073384    All      -0.00026075849569441616    -1.808963085987152e-05     0.0002953681173951294    9.222615534777766e-05      
Lambda        AB|WFC3|WFC3_f125w        4990.533672982026    All      -0.00020975448153328637    -8.227523263260244e-05     -0.00134782159978729     -1.8622902368135115e-05    
Lambda        AB|ACSWF|F775W            3067.761900126707    All      -0.000874284715529206      0.0003537148681249085      0.0005869930245031423    0.00042619466710457494     
Lambda        AB|ACSWF|F850LP           3603.292351166068    All      -0.0002285965716019265     -1.2388347218746955e-05    -0.002051252902980648    -2.1111864275299445e-05    
MWEBV         All|All|All               All                  All      -0.17302629832477323       -0.9494452592523572        0.1520416195354022       -0.24612027982124882       
Redshift      All|All|All               All                  All      1.9003070153544002         -0.5289426833645194        -4.121557570405747       -0.9752127315519568        
