#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5312.424918580737     All      0.060787768574025125       0.1164339581507079         -0.2418521403100845        0.007333044415049247      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5315.055580229053     All      0.27862478205828284        0.2873476303566491         0.6219162099621561         0.030594582756736696      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6305.843075218874     All      0.6159231815591478         -0.025494321094576833      0.36095196120445394        -0.1928231543872034       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4337.63451624818      All      -0.2057684549564328        0.14714096816668132        -0.010166411405780961      0.1145005292379551        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8070.4203335779885    All      0.09579866962255333        -0.02225397447919164       0.009409378055546657       -0.038033732673659636     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4312.166632333238     All      -0.5517643695099861        0.4326860969777968         0.21078840243265684        0.33007442267786874       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7747.098882995335     All      0.1109372146523755         -0.02255077312174336       0.025022742721172987       -0.04236477916003849      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7797.096061411006     All      0.18818460311023713        -0.02953791507112058       0.12221719758380314        -0.0654653948248784       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4326.868397299654     All      -0.3084230787274193        0.1603352844837147         -0.3011446455189244        0.13925131816776593       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6249.082687614362     All      0.3110700251057819         -0.09569482603426493       -0.5838082800593467        -0.15854937638702846      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5282.256603730008     All      0.03594044226250353        0.077082769839798          -0.3366196488169547        -0.0016203792542763263    
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6457.594594929394     All      0.36503032112221107        -0.028904422495656945      0.12470032834213671        -0.12275270313843495      
Check         All|All|All                                      All                   All      0.99634110487328           0.9965904756787936         0.0014150941908350478      0.00014437742985604074    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5312.424918580737     All      1.7380472554441093e-05     1.4868701004007836e-05     -0.00015380850040860563    -7.681933585150564e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5315.055580229053     All      7.81953361950883e-05       5.513218805204168e-05      4.248044684173501e-05      -5.616718868315611e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6305.843075218874     All      -0.00017526974874286361    -4.225056723487644e-06     -0.00022091194107353804    4.585659807566817e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4337.63451624818      All      -0.00012529800672182444    3.3727323510635345e-05     -0.0003073791202473488     3.808286343927459e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8070.4203335779885    All      -8.716326068126861e-06     -1.7221229581674376e-07    -1.795499478172348e-05     1.981849995835179e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4312.166632333238     All      -0.0002470451934227358     8.731319410703413e-05      -0.0004900292265485048     8.704377312463349e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7747.098882995335     All      -1.8329896979122915e-05    3.957674566545064e-06      -2.3794944537236253e-06    7.153609382901578e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7797.096061411006     All      -2.0472120650149603e-05    6.047330396886566e-06      9.817667441072096e-06      9.076375077023794e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4326.868397299654     All      -0.00011859184328334656    4.0124506998296025e-05     -0.0002450216586711151     4.0764945616840336e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6249.082687614362     All      -6.635339822883193e-05     -5.185106750347826e-06     -0.00010914862412721922    1.505372311825898e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5282.256603730008     All      -5.513030309635399e-05     -2.96167138089867e-05      -0.0008904060123874961     -3.142411544290544e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6457.594594929394     All      -7.386795759733517e-05     1.383081377242256e-06      -6.968528053962554e-05     2.1402005062100562e-05    
MWEBV         All|All|All                                      All                   All      -0.8233506785578446        -4.014010762302966         0.04002621950302041        -1.0375167725319896       
Redshift      All|All|All                                      All                   All      4.272314041237594          -0.11897971922678607       0.17101653384759197        -1.4227571646017134       
