#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5312.424918580737     All      0.05295213125505466        0.06220473384503933        -0.28454339535257667       -0.009683987808898481      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5315.055580229053     All      0.36816995756717164        0.34158578102463366        0.8060172641637608         0.02730950770289814        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6305.843075218874     All      0.7051328401409322         -0.02308758446059045       0.33963160094689915        -0.22204915155433144       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4337.63451624818      All      -0.20692778553330587       0.12960496278289213        -0.12549668513028855       0.10401944705320798        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8070.4203335779885    All      0.08410756201664817        -0.016891082841752336      0.0148483017669232         -0.03223596987502672       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4312.166632333238     All      -0.6244774207414772        0.5063348354052977         0.28606809317852644        0.38110865958053197        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7747.098882995335     All      0.09806362632083712        -0.020178979781526607      0.003915360390460698       -0.03834078232210769       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7797.096061411006     All      0.23388168778395577        -0.0357844216118508        0.11995913624278653        -0.08248589828356509       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4326.868397299654     All      -0.23750939109862448       0.11011565839318394        -0.33669723025246956       0.09820766415218896        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6249.082687614362     All      0.20886466596605652        -0.04787728896067378       -0.27761223283930825       -0.09601786020381614       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5282.256603730008     All      -0.0014745481072340333     0.013229615990084653       -0.6226190707074641        -0.02299499954058759       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6457.594594929394     All      0.31654883935651823        -0.02332481762987726       0.07636829569719339        -0.10730006530158959       
Check         All|All|All                                      All                   All      0.9973321649265326         0.9959314121548601         -0.00016056189555690992    -0.00046343640109569595    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5312.424918580737     All      1.8714591344140468e-05     5.474565197777065e-06      -0.000215311441209708      -1.3921072831300784e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5315.055580229053     All      6.572021445148211e-05      6.982989928544789e-05      -3.2721199863554166e-06    1.1926398683501933e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6305.843075218874     All      -0.00016779516030724506    4.480199662931066e-09      -0.00012969310209580613    4.887025586963601e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4337.63451624818      All      -0.00011623425610901812    9.679752622042867e-06      -0.00042119082170233963    2.221852317844966e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8070.4203335779885    All      -1.1875377763139631e-05    5.635475438538611e-07      -1.5914611964135884e-05    3.3415711621846508e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4312.166632333238     All      -0.0002914631447942588     9.815557028782902e-05      -0.0006204647219824614     9.922314272654417e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7747.098882995335     All      -2.030877996779202e-05     3.9079130050832015e-06     -2.0099318345875017e-06    7.798479580305126e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7797.096061411006     All      -3.188004313648316e-05     7.362487981529291e-06      1.6633345003944419e-06     1.2856810405396253e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4326.868397299654     All      -9.65909795376587e-05      1.341049269169826e-05      -0.0003293929252867559     2.113180503748254e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6249.082687614362     All      -2.928554879801153e-05     1.5354669962668781e-06     -2.019197776213913e-06     9.949311302585375e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5282.256603730008     All      -6.072465310818323e-05     -4.8665959523151596e-05    -0.000970407858252967      -3.9376932571864774e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6457.594594929394     All      -4.6849208396014026e-05    1.2424574755573409e-06     -2.5843512365579637e-05    1.451176048126611e-05      
MWEBV         All|All|All                                      All                   All      -0.8160710504715771        -4.014015533519277         0.04140247648709572        -1.0398281250061785        
Redshift      All|All|All                                      All                   All      4.772725719129907          0.22091059993156748        4.337064735437202          -1.289132654867571         
