#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5380.322470340735     All      0.33233427809740634        0.21376916314626015        -0.3223820071223661        -0.05300698694687635       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4390.8990420924065    All      -0.37186314023657735       0.32129610219047144        0.34548700735086474        0.24120226789384927        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7892.8414782084       All      0.22646298226872402        -0.05477692499695763       0.06507595234622784        -0.0887050494443806        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8169.52206997865      All      0.1374245402473755         -0.02869127261031501       0.10144763479344211        -0.04958224328696708       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5347.120734705379     All      0.25679965774182817        0.22786750978269765        0.2718145602812665         0.0027056829965482047      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4365.1184221099375    All      -0.7922020050004488        0.4708160890449342         -0.4276291366564239        0.39232342095226486        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6325.819080473261     All      0.5004345815278824         -0.03272691923292825       0.21485598059489955        -0.1640802056740422        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6383.276464360233     All      0.708126443856349          -0.12113245727500832       -0.2483279148563249        -0.2811986402171576        
Check         All|All|All                       All                   All      0.9975173385025394         0.9964212900491543         0.00034207673158587193     -0.00034175372676154003    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5380.322470340735     All      -3.643754690017684e-05     -5.116078465290449e-06     -0.0011232077760046795     -3.992117162141848e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4390.8990420924065    All      1.2451367364679841e-05     -1.0683077618466929e-05    -8.641509026250046e-06     -7.921280690470042e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7892.8414782084       All      1.9895158774656615e-05     -5.089154385824607e-08     9.923186549706654e-05      -2.0688223926438915e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8169.52206997865      All      -2.109565312880502e-05     4.424735834965909e-06      -1.5261123418487658e-05    7.631796434996131e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5347.120734705379     All      4.137697171920197e-05      3.447746045525178e-05      4.578081207088746e-05      -2.0441042678781933e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4365.1184221099375    All      -0.0003280185008792092     9.796990801231503e-05      -0.0008045800920258702     0.00010285372517393487     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6325.819080473261     All      -0.00017913584378888045    1.233303768443853e-05      -8.064826204215895e-05     5.876875230408574e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6383.276464360233     All      -0.0002684112646089253     1.8124391833934542e-05     -0.0005754457599477985     6.765458870684412e-05      
MWEBV         All|All|All                       All                   All      -0.8543905623882604        -4.080449734924763         0.030260633197239137       -1.0494832136118828        
Redshift      All|All|All                       All                   All      3.690284106436352          -0.18766457038212891       0.11639687004080085        -1.257981207043287         
