#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5380.322470340735     All      0.2227607269612547         0.15270651017980086       -0.7285657603091522        -0.055331506822087206     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4390.8990420924065    All      -0.468811209345276         0.4394302880759149        0.6465582821435278         0.3246970625650991        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7892.8414782084       All      0.25527127392683396        -0.05952062248208989      0.11265300909548692        -0.09751089060678897      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8169.52206997865      All      0.15806978084002615        -0.035110364204715694     0.13179511910552666        -0.0570437178264771       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5347.120734705379     All      0.2643530071641508         0.2650072783962898        0.22707649852440337        0.01034649886970107       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4365.1184221099375    All      -0.738816328272828         0.4040119928617081        -0.7483131368482665        0.3388630037089002        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6325.819080473261     All      0.5650712847710601         -0.036006037626812315     0.27438274535329654        -0.18354621703077223      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6383.276464360233     All      0.6928552256156311         -0.12660360892207123      -0.03063671794858447       -0.2682918778165011       
Check         All|All|All                       All                   All      0.9507537616608526         1.0039154362780245        -0.11504996088376185       0.012182355041073789      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5380.322470340735     All      1.8064404395888394e-05     3.748216265184155e-05     -0.0013011968861837303     -5.174143816000584e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4390.8990420924065    All      -0.00017521426801505918    0.00016333494399590538    0.0002371918812976511      0.00012086140056962305    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7892.8414782084       All      2.042989841977563e-05      -7.854475428806785e-07    8.60750373040539e-05       -3.069402557655024e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8169.52206997865      All      -1.8010247459634763e-05    4.608391577809544e-06     -5.805178445842933e-06     7.108576413799292e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5347.120734705379     All      0.00011024406568257473     0.00010662997853210776    8.006295604421018e-05      2.3956149275536864e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4365.1184221099375    All      -0.0005900339362756952     0.00023176553666505266    -0.0011260958675949066     0.00021743463813688783    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6325.819080473261     All      -7.54242295299065e-05      3.2985277192726583e-06    -2.7795155490136612e-05    2.4402221806850306e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6383.276464360233     All      -0.0001065234265976063     1.2674554407731472e-05    -0.0002396226545813971     2.8133445383611197e-05    
MWEBV         All|All|All                       All                   All      -0.8535757245515385        -4.086330522498294        0.027308377936341444       -1.0517959446806113       
Redshift      All|All|All                       All                   All      3.0993852456073423         -1.7973931073589355       2.7538905035046746         -1.4721483237739863       
