#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_g          3178.4453784074954    All      -0.24011842630448463      0.0789277697162305        -0.05094405531369914       0.10165044314095713       
Zeropoint     AB|DECam|DECam_r          4224.39003190833      All      -0.7583290062974433       0.5606491266080482        -0.11298729692739218       0.42459246684900287       
Zeropoint     AB|DECam|DECam_z          6014.07372618688      All      1.3986608965857872        0.021864005771199402      -0.14515756535528318       -0.45494575806783766      
Zeropoint     AB|DECam|DECam_i          5132.106252319573     All      0.5846576134441458        0.3398387252968149        0.30774020848541295        -0.06601253406671964      
Check         All|All|All               All                   All      0.984871077428005         1.001279627392293         -0.0013487091109615212     0.00528461785540274       
Lambda        AB|DECam|DECam_g          3178.4453784074954    All      -0.0006405788566480413    0.00020528267627429686    -0.00020793529405304322    0.00026624573212933916    
Lambda        AB|DECam|DECam_r          4224.39003190833      All      -0.0005306306081090947    0.0002122413061414888     -0.0014379041907490082     0.00017781076225341022    
Lambda        AB|DECam|DECam_z          6014.07372618688      All      -0.0003334127991282878    -1.630439618458047e-05    -0.0003349284205321891     8.834632225758873e-05     
Lambda        AB|DECam|DECam_i          5132.106252319573     All      5.987912300686356e-05     3.3966471282099554e-05    -0.0003286995160548748     -2.31089529069322e-05     
MWEBV         All|All|All               All                   All      -0.34064350249833564      -2.274492200937317        -0.0172350037363589        -0.6306872618732451       
Redshift      All|All|All               All                   All      3.7421872742825846        -0.4075468745204702       -3.557214285882604         -1.5104470703481994       
