#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_g          3178.4453784074954    All      -0.23500952132778447       0.07668129610820529        -0.04189948324165027       0.09965817206250283       
Zeropoint     AB|DECam|DECam_r          4224.39003190833      All      -0.7874215036029675        0.5174434358702129         -0.6177278112469459        0.3974710844730778        
Zeropoint     AB|DECam|DECam_z          6014.07372618688      All      1.3700583730884202         0.04453308959746494        0.19842306932841697        -0.4229124830595968       
Zeropoint     AB|DECam|DECam_i          5132.106252319573     All      0.6376558300997814         0.3626161054057775         0.4634103652447763         -0.06890961063696077      
Check         All|All|All               All                   All      0.9852831782574497         1.0012739269816606         0.00220614008459713        0.00530716283902305       
Lambda        AB|DECam|DECam_g          3178.4453784074954    All      -0.0006002922425590055     0.0001722103441359212      -0.0004007926772234972     0.00023374397065645199    
Lambda        AB|DECam|DECam_r          4224.39003190833      All      -0.0004827792883130349     0.00013700853119660383     -0.0016712213265086123     0.00012730635106773905    
Lambda        AB|DECam|DECam_z          6014.07372618688      All      -0.00038620763829708257    -2.0068494312552467e-05    -0.0003001687669079203     0.00010586841137398862    
Lambda        AB|DECam|DECam_i          5132.106252319573     All      -1.237004484567114e-05     6.552873842088427e-06      -0.00046061745117308535    -1.439142414428441e-05    
MWEBV         All|All|All               All                   All      -0.35218782563673967       -2.2647480866025305        0.05109341996786254        -0.6207037336906168       
Redshift      All|All|All               All                   All      3.9581598950337544         -0.024225411115352813      -2.449450123211684         -1.4065016198791884       
