#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5981.160422714377     All      1.277670463256729         0.1303168776669139         0.2703632684089861         -0.3616657387028613        
Zeropoint     AB|SDSS|SDSS_g            3774.5472147656474    All      -1.0352925372270445       0.4833051692314072         -0.05355603295034573       0.492267273597477          
Zeropoint     AB|SDSS|SDSS_z            7111.101161133269     All      0.10945641776554982       0.007666710564890877       0.10290569630255202        -0.02856404781993789       
Zeropoint     AB|SDSS|SDSS_r            4932.204833901275     All      0.6458906155848202        0.37727744877162905        -0.31850417710532114       -0.10170952412919224       
Check         All|All|All               All                   All      0.9977249593800546        0.998566206234841          0.0012087546558712803      0.00032796294548560756     
Lambda        AB|SDSS|SDSS_i            5981.160422714377     All      -0.000152801848420076     -3.118498796494185e-05     -0.0001305785716473362     3.3787490599169085e-05     
Lambda        AB|SDSS|SDSS_g            3774.5472147656474    All      -0.0015836301255303304    0.0005443394335101905      -0.0017913988532565043     0.0006132077902750423      
Lambda        AB|SDSS|SDSS_z            7111.101161133269     All      -3.945085669648128e-05    -4.0094802193464e-06       -4.4171997769276924e-05    9.573228919460568e-06      
Lambda        AB|SDSS|SDSS_r            4932.204833901275     All      -7.384056780017226e-05    -1.3577953627204163e-05    -0.0007033573596041564     -1.1758092538371773e-05    
MWEBV         All|All|All               All                   All      -0.5483178805339946       -3.0198893048488884        0.1383146919426405         -0.7988997757390072        
Redshift      All|All|All               All                   All      3.736314747169345         -0.053052759372107516      1.362607738974342          -1.17351473820911          
