#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5981.160422714377     All      1.1975148724212483         0.1062612510121852         0.08453292727650386        -0.35168488937204634      
Zeropoint     AB|SDSS|SDSS_g            3774.5472147656474    All      -0.8755258189491063        0.548168286912265          0.7939624534277656         0.49917490618272814       
Zeropoint     AB|SDSS|SDSS_z            7111.101161133269     All      0.09113755375019171        -0.0003998983672204304     0.002506512775179992       -0.02970490549420602      
Zeropoint     AB|SDSS|SDSS_r            4932.204833901275     All      0.5857872735275976         0.34519818111071743        -0.8748873375880706        -0.11740998621056868      
Check         All|All|All               All                   All      0.9989138807499313         0.9992278206679472         0.006114555891378881       0.00037512510590710646    
Lambda        AB|SDSS|SDSS_i            5981.160422714377     All      -9.965118433565118e-05     -2.7215865057388185e-05    -2.8656251490755417e-05    2.2315769649521008e-05    
Lambda        AB|SDSS|SDSS_g            3774.5472147656474    All      -0.0015687436747876026     0.000492490353731464       -0.0023298002393280885     0.0005674434513782145     
Lambda        AB|SDSS|SDSS_z            7111.101161133269     All      -4.691135326277905e-05     -1.0414691567675466e-05    -0.00012450615612835534    6.33202550668368e-06      
Lambda        AB|SDSS|SDSS_r            4932.204833901275     All      -0.00017761308253481844    -4.0106864305439805e-05    -0.0010123535420586305     -3.863899129165299e-07    
MWEBV         All|All|All               All                   All      -0.5465009920321102        -3.013053384862019         0.1997505690414958         -0.794523311032972        
Redshift      All|All|All               All                   All      3.981962849508794          0.19490536986648266        4.241934754594712          -1.044271146013953        
