#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5399.023644290024    All      0.7525658991928803         0.24972155212132918        -0.2730456230282924        -0.1759777190314095        
Zeropoint     AB|CNIa02|SDSS_i                      7382.207774749633    All      0.5009900773514653         -0.06409652083760875       0.28253821973505955        -0.1714589127313912        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4315.584809943951    All      -0.8328137732089078        0.4558849672306131         -0.3214196624209048        0.4054280933836668         
Zeropoint     AB|CNIa02|SDSS_r                      6087.541262596637    All      0.9409661213458177         -0.07465303695655123       -0.019733377487277104      -0.33170118274206056       
Zeropoint     AB|CNIa02|SDSS_g                      4658.709986975577    All      -0.36065680606110073       0.4303791414089986         0.34165247105143737        0.27291281303066656        
Check         All|All|All                           All                  All      1.0010515186201547         0.9972361029667809         0.009992027850022622       -0.0007969080905279036     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5399.023644290024    All      -0.0001643447626843952     -3.211149152689631e-05     -0.0012535603488374315     -1.286791421277826e-05     
Lambda        AB|CNIa02|SDSS_i                      7382.207774749633    All      -5.5905529203182585e-05    -1.6803041217793865e-05    -0.00030717135339162604    -9.706799443856848e-07     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4315.584809943951    All      -0.00031776707839559876    3.9935132404763656e-05     -0.0007371169254125065     8.362123518529285e-05      
Lambda        AB|CNIa02|SDSS_r                      6087.541262596637    All      -1.9117697554405283e-05    -3.860634316807526e-05     -0.00029798400870028035    -1.9645750751012507e-05    
Lambda        AB|CNIa02|SDSS_g                      4658.709986975577    All      0.00010547447709331631     -6.909118199212881e-05     3.7307400005802265e-05     -5.5196920288159675e-05    
MWEBV         All|All|All                           All                  All      -0.8636205325223387        -4.034345448800014         0.03956397375267373        -1.0310438605451333        
Redshift      All|All|All                           All                  All      4.23928136948867           0.3574838655673318         2.9013523394492284         -1.1349551248914638        
