#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5399.023644290024    All      0.7388767938995625         0.2318668185173678         -0.028611249131742178     -0.1664266177567568        
Zeropoint     AB|CNIa02|SDSS_i                      7382.207774749633    All      0.4907099365450257         -0.07386367828683404       0.20489232721368542       -0.1747567967438387        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4315.584809943951    All      -0.8253756857642196        0.4516533474070883         -0.2791227337643766       0.40351440346761835        
Zeropoint     AB|CNIa02|SDSS_r                      6087.541262596637    All      1.0594024355533915         -0.10778057476681369       -0.16099582614348115      -0.38737440993546          
Zeropoint     AB|CNIa02|SDSS_g                      4658.709986975577    All      -0.46410597358728234       0.49503952491178893        0.26501352097418585       0.32425158008877353        
Check         All|All|All                           All                  All      0.9995075066464779         0.9969154377825973         0.0011760391482713572     -0.0007918408796636633     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5399.023644290024    All      -5.834023106123811e-06     -5.489989684684364e-05     -0.001244908141022993     -7.153690197422472e-05     
Lambda        AB|CNIa02|SDSS_i                      7382.207774749633    All      -7.101534654537627e-05     -1.4730132293779235e-05    -0.0003279743000710591    3.697959329596722e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4315.584809943951    All      -0.00034302670064044363    6.793036704832998e-05      -0.0006902535727068486    0.00010305939030225908     
Lambda        AB|CNIa02|SDSS_r                      6087.541262596637    All      -7.44630816486121e-05      -2.1177234071899295e-05    -0.0003507416044704849    1.7049666984548464e-06     
Lambda        AB|CNIa02|SDSS_g                      4658.709986975577    All      1.9560121749901884e-05     -2.5728788537988898e-05    5.040823890679813e-05     -1.2502599855915128e-05    
MWEBV         All|All|All                           All                  All      -0.871337905181615         -4.035386140769859         0.026229567583456875      -1.029464099292935         
Redshift      All|All|All                           All                  All      4.2440532075282755         0.10712855894894346        3.1726077662612804        -1.2059535454728132        
