#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                6056.672141937942    All      1.5026828641924763         0.08362594950366287        -0.5604261016686429        -0.48724276567342595      
Zeropoint     AB|PS|PS_g                4769.288117664766    All      -1.242201772384919         1.1917760196004323         0.0942623613102267         0.7970331385944145        
Zeropoint     AB|PS|PS_z                8430.787030798985    All      0.2365694394050619         -0.09235764161141802       0.12189187580518013        -0.10170289707855709      
Zeropoint     AB|PS|PS_i                7335.941697959134    All      0.501992727245981          -0.18521906654402898       0.3364419627297721         -0.20883363025929352      
Check         All|All|All               All                  All      0.9990432584586002         0.9978252609486482         -0.007829901823463992      -0.0007461544168620715    
Lambda        AB|PS|PS_r                6056.672141937942    All      -1.342133219526221e-05     2.23774514752294e-05       -2.5414028838448204e-06    1.1547430448014616e-05    
Lambda        AB|PS|PS_g                4769.288117664766    All      -0.00019923335553419556    -1.2638131898008386e-05    -0.0008989743966420039     2.0663104656753297e-05    
Lambda        AB|PS|PS_z                8430.787030798985    All      0.00022178095124273658     -9.36378797546197e-05      1.3264509251443524e-05     -0.0001021503561009474    
Lambda        AB|PS|PS_i                7335.941697959134    All      -9.397393734238155e-05     8.354071762422546e-06      -0.0007688394424737549     -9.781741088274723e-07    
MWEBV         All|All|All               All                  All      -0.7573796386095721        -4.050732728554429         0.047853001285336205       -1.0706179898269597       
Redshift      All|All|All               All                  All      3.8827148435288787         0.515678627990912          7.547326776318353          -0.7599519371929487       
