#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6056.672141937942    All      1.406090792823229          0.0735514967205475         -0.2771164868135323        -0.4464183240378291        
Zeropoint     AB|PS|PS_g                4769.288117664766    All      -1.2046938234929065        1.1932199762325624         -0.055509413223333755      0.778602283424714          
Zeropoint     AB|PS|PS_z                8430.787030798985    All      0.27805192079543994        -0.10082250276761684       0.042229741897206144       -0.12152734492610409       
Zeropoint     AB|PS|PS_i                7335.941697959134    All      0.519885008162789          -0.1677536675810387        0.2873739774605805         -0.21116235857711016       
Check         All|All|All               All                  All      0.9993338982885513         0.9981953026044543         -0.0030221806790793893     -0.0005057441163293097     
Lambda        AB|PS|PS_r                6056.672141937942    All      -0.00026503726081690413    6.693765280956616e-06      -0.0007803112413113414     5.369002802547459e-05      
Lambda        AB|PS|PS_g                4769.288117664766    All      -0.00029254958629897364    4.718021513510901e-05      -0.0011144511559439795     6.0928336504806994e-05     
Lambda        AB|PS|PS_z                8430.787030798985    All      0.000280690364082068       -0.00010532318130357265    -0.00010297327801056157    -0.00013033253565898617    
Lambda        AB|PS|PS_i                7335.941697959134    All      -0.0001710275860207142     2.5115349220258145e-05     -0.001115497793644499      1.4110663684585004e-05     
MWEBV         All|All|All               All                  All      -0.7316000182847038        -4.049909339916802         0.02315398048500048        -1.079849259382949         
Redshift      All|All|All               All                  All      5.453650188735168          0.0359453034293189         11.530849242694693         -1.2501558759142266        
