#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5649.009040322983     All      0.38349024553232663        0.12401467005247468       -1.859644906430602        -0.16750714256053567      
Zeropoint     AB|DECam|DECam_r          4649.8681646185205    All      -0.1331843915542935        0.4866730137919717        0.14673081880538508       0.20845587215719968       
Zeropoint     AB|DECam|DECam_z          6619.807770551026     All      1.1334135812465158         0.08506958597855885       1.1621076189544166        -0.28962060308508203      
Zeropoint     AB|DECam|DECam_g          3498.5765675996167    All      -0.39020213993649144       0.30420621873403775       0.5592201358988691        0.2511470740353988        
Check         All|All|All               All                   All      0.9935172952880574         0.999963488557043         0.0084136672280688        0.0024752005469808047     
Lambda        AB|DECam|DECam_i          5649.009040322983     All      -0.00010232562696838486    -6.501598088951198e-05    -6.04278669752974e-05     9.456361010832946e-06     
Lambda        AB|DECam|DECam_r          4649.8681646185205    All      -0.00014574834054908463    -5.905517351239262e-05    -0.0008540051103991008    -9.871509149180718e-06    
Lambda        AB|DECam|DECam_z          6619.807770551026     All      -0.00048250456852083547    -5.586308488712565e-05    -0.001021740538002278     9.337557978091132e-05     
Lambda        AB|DECam|DECam_g          3498.5765675996167    All      -0.0009637763541929476     0.0004931399030021078     -0.0007868683709553244    0.00043945123464956876    
MWEBV         All|All|All               All                   All      -0.4510779321716334        -2.5865402457837305       0.10242255910448694       -0.6910196817637728       
Redshift      All|All|All               All                   All      5.172406423527974          -0.37087237099093784      1.7829178770303378        -1.726064835624025        
