#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|CNIa02|SDSS_i 7295.294932433704 All 4.48751444936325 -5.545825717201996 -0.15421846728961608 -3.2750710412325486
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5335.4593956297285 All 1.7475248811994244 -3.625581869809883 -0.18224028919694035 -1.7583301858727325
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4264.776196378424 All 0.335014030805996 -0.7586266458951103 -0.9808750748806006 -0.40000669770675856
Zeropoint AB|CNIa02|SDSS_r 6015.87089920515 All -4.2071112288289205 -0.8519959028266229 -54.60505988070674 -1.343901588812549
Check All|All|All All All 2.3629421325397466 -10.782030135733613 -55.9223937120739 -6.777309513624588
