#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7295.294932433704     All      1.749548911061066         -0.06560625221894156       31.53853912886049         0.8161643965387232        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5335.4593956297285    All      4.811225262572817         4.565593561758519          42.351986955190355        1.8099643361715896        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4264.776196378424     All      -2.084699400035679        -0.6033617028819549        -2.9644803437007075       0.35022928015202837       
Zeropoint     AB|CNIa02|SDSS_r                      6015.87089920515      All      -3.4962757901783963       -2.75610718028787          -71.00262800944921        -2.9274239177211783       
Check         All|All|All                           All                   All      0.979798983419808         1.140518426369752          -0.0765822690990774       0.04893409514116298       
Lambda        AB|CNIa02|SDSS_i                      7295.294932433704     All      -0.0008154761366212914    6.978938699768672e-05      -0.013960786677886465     -0.0003346456844467322    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5335.4593956297285    All      0.0008295663114884625     0.0007866637964426425      0.007312051153641455      0.00031232849934953075    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4264.776196378424     All      -0.0006990693746866464    -0.00020302589505445407    -0.0009813268003729724    0.00011778557263227853    
Lambda        AB|CNIa02|SDSS_r                      6015.87089920515      All      0.0007197774283627708     0.0006255567823987042      0.01486646558240873       0.0006327313155784787     
MWEBV         All|All|All                           All                   All      -0.6082146732894866       -3.9065830620745423        5.542533286033286         -0.827049292703093        
Redshift      All|All|All                           All                   All      2.4859746559597493        -7.6405060342144           -24.378964316103495       -4.3864491210033645       
