#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7396.438282089829    All      0.4877829410837174         -0.38474279834979086       0.20535620013839676       -0.27504623453242605       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4323.903860719683    All      -1.1288017777503052        0.4991054654167826         -0.1011504587735489       0.525749065249222          
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5409.431214483694    All      0.5181051884209913         1.0865767541733184         0.019523644996420883      0.18604114173186867        
Zeropoint     AB|CNIa02|SDSS_r                      6099.276071919864    All      1.1181013418399082         -0.20247017562535774       -0.14270325521166022      -0.4365217796186526        
Check         All|All|All                           All                  All      0.9951876935943115         0.9984692456149524         -0.018973868850391484     0.00022219283001212453     
Lambda        AB|CNIa02|SDSS_i                      7396.438282089829    All      -8.096059253578217e-05     -5.3415527596765155e-05    -0.0005495460430109694    -1.5551382069539344e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4323.903860719683    All      -0.00043459839166644213    0.00023115686483683094     -0.0003981148975761663    0.00019909235033724375     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5409.431214483694    All      -6.644038309187606e-05     0.00036382758845951294     -0.0013831995553834093    7.842659037910812e-05      
Lambda        AB|CNIa02|SDSS_r                      6099.276071919864    All      -0.00018180905431451234    -3.201329235913778e-05     -0.0007067476486849398    1.7254506216787555e-05     
MWEBV         All|All|All                           All                  All      -0.8856716152737891        -4.091382572782543         0.02274690149736686       -1.0431904338773987        
Redshift      All|All|All                           All                  All      6.315076003929411          -3.1879458859770615        8.80464315122366          -2.7025360841005965        
