#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7396.438282089829    All      0.5067746837874203         -0.2671225515459952        0.1408134580571485        -0.2457999321106144       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4323.903860719683    All      -0.9862484743275612        0.5557794962717466         0.09050263343244047       0.5063279581040887        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5409.431214483694    All      0.4401151415474657         0.8499396359438194         0.09712140130977986       0.1378274027282715        
Zeropoint     AB|CNIa02|SDSS_r                      6099.276071919864    All      1.0341150710614206         -0.1431756451047761        -0.33757419647477693      -0.3985467039359092       
Check         All|All|All                           All                  All      0.9947564220687454         0.9954209355647947         -0.009136703675408087     -0.0001912752141634       
Lambda        AB|CNIa02|SDSS_i                      7396.438282089829    All      -8.480452597828722e-05     -1.0755609593350043e-05    -0.0006545149575277457    -5.087828272431264e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4323.903860719683    All      -0.0003724887420067583     0.00026534279921880535     -0.0003856169020678959    0.0001905544057466651     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5409.431214483694    All      -0.0001817298991967755     0.00031890595635454495     -0.0016599812388922164    8.899622990980026e-05     
Lambda        AB|CNIa02|SDSS_r                      6099.276071919864    All      -0.00011955218861077204    6.862783323905861e-05      -0.0008021653592987791    2.549946828205144e-05     
MWEBV         All|All|All                           All                  All      -0.8728435914495751        -4.073983589550245         0.03511861657870541       -1.0411494291952401       
Redshift      All|All|All                           All                  All      6.431113946348787          -3.0499163651819927        9.727116757752151         -2.654206943230858        
