#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6490.920329808923     All      1.181052535604532          -0.19532632163787866      0.01617546003924941       -0.44761003883291         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5339.840771620357     All      0.39402199344115285        0.6483412317629167        -0.5873025807543023       0.05663152597994282       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4349.1980847625755    All      -1.048082686950453         0.6832365427819731        0.1479856393937897        0.5705515512473536        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7787.07936793673      All      0.470278026568353          -0.14101631790692792      0.4265699963831722        -0.18008281920872518      
Check         All|All|All                                      All                   All      0.9972698686635849         0.9952351350000832        0.0034285150619090543     -0.0005097808143388061    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6490.920329808923     All      -0.0003239511884142075     3.889238223792182e-05     -0.0007828165950140584    8.325657887140174e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5339.840771620357     All      -9.106199274889161e-05     0.0001941636280853671     -0.0016726175204109966    1.8266130468388332e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4349.1980847625755    All      -0.0005664442268003094     0.00024403812732575787    -0.000583232734039288     0.00023797376858719372    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7787.07936793673      All      -1.4853321126830564e-05    2.009990067196858e-06     2.4382338468201716e-05    6.581007024159954e-06     
MWEBV         All|All|All                                      All                   All      -0.8123636186952932        -4.056558559202816        0.06880217739318573       -1.0536706977865333       
Redshift      All|All|All                                      All                   All      4.826186388463417          -1.1184115074953205       4.939594950912224         -1.7159196702552972       
