#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6490.920329808923     All      1.1554686702818528         -0.17211234235068318      0.09051284318046804       -0.42839763945173026       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5339.840771620357     All      0.44340761578285026        0.6330599604325471        -0.6902679937669909       0.030972517753621864       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4349.1980847625755    All      -1.0430520748898178        0.6731686546164184        0.21724355289591823       0.568724135587289          
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7787.07936793673      All      0.4422420831803777         -0.1402392393831775       0.3871251055224234        -0.1724577143670955        
Check         All|All|All                                      All                   All      0.9980662943552628         0.9938770333151048        0.004613507831818797      -0.0011587004779149424     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6490.920329808923     All      -0.0002946965890655858     2.361979824667085e-05     -0.0004182338048406787    8.502226581403378e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5339.840771620357     All      -0.00010263615428804848    0.00012645561843348284    -0.0017049183303963203    -1.4599474080666344e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4349.1980847625755    All      -0.0004930563735408484     0.00020675041159205992    -0.0006940212377238334    0.0001969791125618056      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7787.07936793673      All      -2.61830780032624e-05      7.516609660436998e-06     -1.753031089115715e-05    1.0194799697593118e-05     
MWEBV         All|All|All                                      All                   All      -0.8109656264161047        -4.059162221865886        0.0874074227366961        -1.0541439018028842        
Redshift      All|All|All                                      All                   All      4.9101417540602466         -0.7223358655894963       5.299864738710369         -1.5981746418392255        
