#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5482.001181836433     All      3.49449676148839          -0.09966649686887763      1.0461998617367656       -1.124050122898805         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4577.8677707323295    All      -2.4974287346517325       1.1017321833385552        -1.0503441407281113      1.1254930849219988         
Check         All|All|All                            All                   All      0.9970680268366577        1.0020656864696775        -0.004144278991345729    0.0014429620231939388      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5482.001181836433     All      0.00027597366238806047    2.995989610303761e-05     0.0005745315965803397    -5.449607086433756e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4577.8677707323295    All      -7.395378918814498e-05    -0.0001690544677282922    -0.00189899601659512     -0.00011572089016732207    
MWEBV         All|All|All                            All                   All      -0.1945178583196694       -2.51518620406479         -0.015800135069855836    -0.7566231153907788        
Redshift      All|All|All                            All                   All      -3.5939685433353423       1.1268355081956116        -4.341057022820776       1.3439997522490255         
