#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5482.001181836433     All      3.3866520288691424         -0.14176698900207896       0.35386739924424065       -1.1335306788842867        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4577.8677707323295    All      -2.3892414152941877        1.1440094162066927         -0.35439238447888116      1.1350811318655616         
Check         All|All|All                            All                   All      0.9974106135749541         1.0022424272046138         -0.0005249852346405071    0.0015504529812748746      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5482.001181836433     All      0.00022716813275430584     1.725626181039064e-05      0.0003616698374336998     -5.2235538506676985e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4577.8677707323295    All      -2.6265620569752846e-05    -0.00016968516941210518    -0.001773973906831729     -0.00012588077331540692    
MWEBV         All|All|All                            All                   All      -0.1941826185714448        -2.514982728787274         -0.013207330599179133     -0.7565503304586049        
Redshift      All|All|All                            All                   All      -3.761105136831322         1.0772900337819635         -5.507689794290362        1.3302415859268748         
