#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3096.4821378418605    All      -0.07440012934048348       0.05250427630496546       0.19466659651240095        0.05002401608066707       
Zeropoint     AB|SDSS|SDSS_g            4071.711906282035     All      -0.8485866946180716        0.5565164843064352        -0.5348834248952602        0.4338189412748717        
Zeropoint     AB|SDSS|SDSS_z            7670.947961995501     All      0.10885578360275219        0.0054397797244476465     0.12310307238556262        -0.028192470020026866     
Zeropoint     AB|SDSS|SDSS_i            6452.048608977614     All      0.9681770786041668         0.03802531720786817       0.3573580761498778         -0.28703378011849034      
Zeropoint     AB|SDSS|SDSS_r            5320.510250304157     All      0.839575930234042          0.34833315003020004       -0.12930735308194757       -0.16578432820067387      
Check         All|All|All               All                   All      0.9936219684824058         1.0008190075739165        0.010936967070633574       0.0028323790163477247     
Lambda        AB|SDSS|SDSS_u            3096.4821378418605    All      -5.909036254153456e-05     4.3711893181454784e-05    0.00016970472340560098     4.105921916272205e-05     
Lambda        AB|SDSS|SDSS_g            4071.711906282035     All      -0.0007488151286784933     0.0002902672564372433     -0.0017877896375398244     0.00025868247712468426    
Lambda        AB|SDSS|SDSS_z            7670.947961995501     All      -4.399355927769179e-06     1.134878375764163e-06     8.875664062548357e-06      2.1987623062223024e-06    
Lambda        AB|SDSS|SDSS_i            6452.048608977614     All      -0.00028483799497779175    -2.671234825027759e-05    -0.00027614751601058314    7.17568198808027e-05      
Lambda        AB|SDSS|SDSS_r            5320.510250304157     All      0.00026562878695280756     0.00010640837443292114    2.492850485797336e-05      -5.075088187437917e-05    
MWEBV         All|All|All               All                   All      -0.7290142361787448        -3.2980409182785664       0.40520489487327666        -0.8187340754078772       
Redshift      All|All|All               All                   All      6.379362320989316          -0.31240307360818065      3.9200167772183434         -2.004795796781298        
