#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8311.049858450702    All      0.2480499478437126         -0.08327387077837756       -0.1404400101906313        -0.11419026059224972       
Zeropoint     AB|PS|PS_r                5970.653032041443    All      1.376134357597432          0.1004125851002513         0.1194482888979853         -0.4102141227746439        
Zeropoint     AB|PS|PS_g                4701.552914386914    All      -1.196551020216574         1.1346240233576665         -0.15986540496649412       0.7522063462846356         
Zeropoint     AB|PS|PS_i                7231.75392613942     All      0.57310661324545           -0.15377636772653247       0.18183428900722975        -0.22865527145862932       
Check         All|All|All               All                  All      1.0007398984700204         0.9979863699530078         0.0009771627480896217      -0.0008533085408874153     
Lambda        AB|PS|PS_z                8311.049858450702    All      0.00023276057775049798     -8.306710564263347e-05     -0.00010163437870690138    -0.00010741094243517164    
Lambda        AB|PS|PS_r                5970.653032041443    All      -0.00015618466650121283    -1.787849600535217e-05     -0.0008018395115497923     9.26845518356322e-06       
Lambda        AB|PS|PS_g                4701.552914386914    All      -0.00020048378795646418    5.163006296323056e-06      -0.0005189242049667184     4.382872253170906e-05      
Lambda        AB|PS|PS_i                7231.75392613942     All      -0.0002146028234099669     -2.7227514508225803e-07    -0.0011266210108020747     1.953858950651479e-05      
MWEBV         All|All|All               All                  All      -0.7180465609473283        -3.9688932173412184        -0.05881632900040156       -1.0615324082954218        
Redshift      All|All|All               All                  All      6.084619908049444          0.4576975345070622         11.000253032065949         -1.3419829668238914        
