#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8311.049858450702    All      0.24621520763666982        -0.09658238004526254       -0.26038988847598976       -0.12328045680884137       
Zeropoint     AB|PS|PS_r                5970.653032041443    All      1.306867179819987          0.13576169425864038        -0.15999347261569374       -0.3886073587328002        
Zeropoint     AB|PS|PS_g                4701.552914386914    All      -1.1269933332222142        1.1436716836650263         0.4310665345012288         0.7588668182781463         
Zeropoint     AB|PS|PS_i                7231.75392613942     All      0.5751476878878932         -0.1859137560529689        -0.014171373539284549      -0.24853515378363          
Check         All|All|All               All                  All      1.0012367421223354         0.9969372418254352         -0.0034882001297392717     -0.0015561510471252538     
Lambda        AB|PS|PS_z                8311.049858450702    All      0.0002359229625425951      -0.00010253917953303761    -0.00028676639887604204    -0.00012304532205916955    
Lambda        AB|PS|PS_r                5970.653032041443    All      -9.145719452777909e-05     -1.8484918385979242e-05    -0.0007795246137538571     -1.1017132228820387e-05    
Lambda        AB|PS|PS_g                4701.552914386914    All      -0.00026194635171192737    0.0001006823169283556      -0.0002735234782972586     0.00010591399091646856     
Lambda        AB|PS|PS_i                7231.75392613942     All      -0.00023323269305051912    3.878114207253573e-06      -0.0013079373922315791     1.8867551961578607e-05     
MWEBV         All|All|All               All                  All      -0.7113052406634544        -3.9784161073715296        -0.09446768550266382       -1.0684211529713161        
Redshift      All|All|All               All                  All      6.107928938340523          0.3118602437892193         13.394007324531003         -1.2902572283682592        
