#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4680.813497129684     All      -2.1638096920906587       1.258279406440721         -0.07843385075388953      1.1111868602534518        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5605.2787909852495    All      3.1700456013105405        -0.25770522053765177      0.0933736857959222        -1.1123643735811566       
Check         All|All|All                            All                   All      1.0062359092198814        1.0005741859030692        0.014939835042032668      -0.0011775133277047711    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4680.813497129684     All      -0.0013087226961583012    9.180493651248809e-05     -0.005689924901563207     0.00020228271047447233    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5605.2787909852495    All      -9.403825805385766e-05    3.2120982581653048e-06    -0.0005385968163486774    7.642538264577898e-06     
MWEBV         All|All|All                            All                   All      -0.26326384371735445      -2.5921966511878836       -0.03441126950690654      -0.760145651919536        
Redshift      All|All|All                            All                   All      8.136952124378178         0.4009406079383382        13.122865196530014        -1.9342602555424193       
