#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4680.813497129684     All      -2.4503912887513035        1.2720910864363333         -0.9621016543195797       1.1696007975719396       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5605.2787909852495    All      3.44860719104063           -0.26980377744543205       0.9644748688639052        -1.1681687007986017      
Check         All|All|All                            All                   All      0.9982159022893266         1.0022873089909012         0.002373214544325486      0.0014320967733378875    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4680.813497129684     All      -0.0005924827765528001     -0.00013063998472875226    -0.004347751252664309     -4.35827784335383e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5605.2787909852495    All      -0.00036951025780175486    2.211956804518612e-05      -0.0003866660838125319    0.0001103115870894541    
MWEBV         All|All|All                            All                   All      -0.25837773067431735       -2.5935641898483297        -0.026581026016289436     -0.7618332442144118      
Redshift      All|All|All                            All                   All      6.762261277505755          1.2399016285721487         9.556719415934905         -1.372341722785187       
