#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6102.897429741066    All      1.089243994617568         -0.08246883378627556      0.3868503603245532         -0.3644020615763452        
Zeropoint     AB|CNIa02|SDSS_i                      7400.829811396922    All      0.5100857879191784        -0.08449130232996982      0.44919515649927133        -0.17362780254356613       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5412.642986799922    All      0.4411438086200863        0.2601034352588849        -0.3069706947765649        -0.07266949789758656       
Zeropoint     AB|CNIa02|SDSS_g                      4670.461846412978    All      -0.3020047564602825       0.3754286113197003        0.13108786185377364        0.22651218399151463        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4326.471116715232    All      -0.6846331129096862       0.49599453173442276       -0.5132708058099011        0.361664346660636          
Check         All|All|All                           All                  All      1.0538357217868637        0.9645664421967626        0.14689187809113213        -0.022522831365347218      
Lambda        AB|CNIa02|SDSS_r                      6102.897429741066    All      0.0010025684584619463     -7.118106738091162e-05    0.0003183885604062743      -0.00033554732673198647    
Lambda        AB|CNIa02|SDSS_i                      7400.829811396922    All      0.0003292676092237672     4.1682290239397624e-07    0.0002475552039540142      -9.607026820184796e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5412.642986799922    All      0.0002878115784056361     0.00018142700610532505    -0.00047264810158134863    -5.574506912604425e-05     
Lambda        AB|CNIa02|SDSS_g                      4670.461846412978    All      3.651005712404547e-05     0.0002751634739744037     0.0007010525017628398      0.00010902202266836068     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4326.471116715232    All      -0.0006322813286936256    0.0004137489084056334     -0.0012900753690235807     0.00028315632297818517     
MWEBV         All|All|All                           All                  All      -0.6043785287956558       -4.009503882306831        0.4556018386704608         -1.0888299353789321        
Redshift      All|All|All                           All                  All      2.0513423647979945        -2.8483600107708895       3.58380571972603           -1.4360654696959019        
