#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6102.897429741066    All      1.1869927303035122         -0.10689944127761919       0.03047382885757807        -0.4201033410513496        
Zeropoint     AB|CNIa02|SDSS_i                      7400.829811396922    All      0.4142476154888346         -0.06363009683871823       0.14110384308769602        -0.1493636761643448        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5412.642986799922    All      0.7245812688996223         0.16402848886887256        -0.19292164986989993       -0.1911996892713114        
Zeropoint     AB|CNIa02|SDSS_g                      4670.461846412978    All      -0.5864156413438139        0.6105243088896373         0.4048740623353827         0.4079503898284686         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4326.471116715232    All      -0.740341977806924         0.39319716463230847        -0.38225877666691677       0.35217253747096583        
Check         All|All|All                           All                  All      0.9990639955412309         0.9972204242744809         0.0012713077438401         -0.0005437791875713138     
Lambda        AB|CNIa02|SDSS_r                      6102.897429741066    All      -1.4183412043027759e-05    -2.2889241232623016e-05    -0.0002681315180835751     -1.4801253148874609e-05    
Lambda        AB|CNIa02|SDSS_i                      7400.829811396922    All      -2.660867340014994e-05     -6.246211166833302e-06     -0.00017873832999105925    -1.3435468975434797e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5412.642986799922    All      0.00011591581616272673     -3.034401261236355e-05     -0.0006454472561760425     -7.6444984648602e-05       
Lambda        AB|CNIa02|SDSS_g                      4670.461846412978    All      -4.162063313352323e-05     -8.595043849546286e-05     -0.0006593034646542264     -4.3861361569892074e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4326.471116715232    All      -0.00033382968414724044    6.853558449192766e-05      -0.0008947054775307885     9.11370091913518e-05       
MWEBV         All|All|All                           All                  All      -0.8875099697790176        -4.048230986353829         0.01592480779828688        -1.0288401686991682        
Redshift      All|All|All                           All                  All      3.7213789214082147         0.36261657689067306        2.480227770674412          -0.9833782214772466        
