#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3664.5407156538313    All      -1.1674774122837182       0.4579920121281944         0.06684948179640493        0.5324520532306254        
Zeropoint     AB|SDSS|SDSS_z            6903.85316579595      All      0.2508649194524992        0.0357851909990714         0.3652924176992922         -0.05375722059564325      
Zeropoint     AB|SDSS|SDSS_r            4788.45922527374      All      0.616644742728652         0.35393377312313845        -0.44815532616051534       -0.10557271963827497      
Zeropoint     AB|SDSS|SDSS_i            5806.843748079852     All      1.2975001163794604        0.15098901053374192        0.016954468715013604       -0.3726997861992709       
Check         All|All|All               All                   All      0.9975323662768936        0.9986999867841462         0.0009410420501954064      0.00042232679743625656    
Lambda        AB|SDSS|SDSS_g            3664.5407156538313    All      -0.002418145007077695     0.000706176337817306       -0.0016685165159385442     0.0009432360202643063     
Lambda        AB|SDSS|SDSS_z            6903.85316579595      All      -7.17249390369968e-05     -1.2756222593700331e-05    -0.00015618468154748435    1.2238245951560622e-05    
Lambda        AB|SDSS|SDSS_r            4788.45922527374      All      5.482084460294518e-05     7.920392653647573e-06      -0.0007279647980297444     -4.776274569360671e-05    
Lambda        AB|SDSS|SDSS_i            5806.843748079852     All      -7.568671595131313e-05    5.470221310094402e-06      0.0002915643217813622      3.9446661024577904e-05    
MWEBV         All|All|All               All                   All      -0.5192454916438813       -2.893071053385121         0.14506717990410145        -0.766759400030742        
Redshift      All|All|All               All                   All      5.721348344849219         -1.374782194911539         1.5628056563331771         -2.2417023338251183       
