#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3664.5407156538313    All      -1.1236343837439549       0.3937962519669824         -0.13416369181502874      0.4882899706619799        
Zeropoint     AB|SDSS|SDSS_z            6903.85316579595      All      0.1529416427731508        0.02837311768590922        0.2505491373498636        -0.029395209534303027     
Zeropoint     AB|SDSS|SDSS_r            4788.45922527374      All      0.8490250108216426        0.40615335962694843        -0.21095914421851045      -0.15367200454483065      
Zeropoint     AB|SDSS|SDSS_i            5806.843748079852     All      1.1207714595718725        0.1707477739270047         0.10107522107203612       -0.3049434463706837       
Check         All|All|All               All                   All      0.9991037294227113        0.9990705032068448         0.006501522388360548      0.00027931021216248686    
Lambda        AB|SDSS|SDSS_g            3664.5407156538313    All      -0.002088182381000492     0.00045672261930406887     -0.0025845112093711405    0.0007136244184432297     
Lambda        AB|SDSS|SDSS_z            6903.85316579595      All      -7.929987195408373e-05    -1.4997064340297906e-05    -0.0001316474664481151    1.5070718146708162e-05    
Lambda        AB|SDSS|SDSS_r            4788.45922527374      All      -0.0001120574051379694    -4.479182313698471e-05     -0.0007078953513117254    -9.679505253655278e-06    
Lambda        AB|SDSS|SDSS_i            5806.843748079852     All      -0.0002778914007335001    -4.3098361391726535e-05    6.026453053903677e-06     7.674875029646853e-05     
MWEBV         All|All|All               All                   All      -0.5519494667665441       -2.874879332705227         0.21494333782768527       -0.7470627454906481       
Redshift      All|All|All               All                   All      5.478185698292276         -0.6622266043338598        0.3394307812790089        -1.984987063710395        
