#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4805.325142502549    All      -1.1014419185461048        1.25370940826377           -0.06776943203392477       0.7641260308212467         
Zeropoint     AB|PS|PS_i                7391.372509991376    All      0.6234679652073295         -0.13175578953283917       0.225517693393683          -0.23593740415154207       
Zeropoint     AB|PS|PS_r                6102.436717075457    All      1.139247077203349          -0.030287459295941233      -0.1906716724366545        -0.3894646760987335        
Zeropoint     AB|PS|PS_z                8494.490559320497    All      0.3376868769024492         -0.09247693530154422       0.035165413844148674       -0.13854923469294628       
Check         All|All|All               All                  All      0.9989600007670225         0.9991892241334455         0.0022420027672523934      0.0001747158780249225      
Lambda        AB|PS|PS_g                4805.325142502549    All      -0.0003587850224828358     8.029920300038466e-05      -0.001280489729435422      8.58818021337354e-05       
Lambda        AB|PS|PS_i                7391.372509991376    All      -9.368768633308992e-05     -5.705176583149345e-05     -0.0008487696298938542     -2.5943165730899536e-05    
Lambda        AB|PS|PS_r                6102.436717075457    All      -0.00011933928785743802    -1.5837106643395833e-05    -0.00032670790078709864    1.9134592445019438e-05     
Lambda        AB|PS|PS_z                8494.490559320497    All      0.0003198009501449886      -0.00010116724608420532    -6.65132857278797e-05      -0.0001400913734116982     
MWEBV         All|All|All               All                  All      -0.6958579209937148        -4.081501303933699         0.01903448292650131        -1.1019660126316135        
Redshift      All|All|All               All                  All      4.349169910564561          1.398705479418627          3.715754581457864          -0.7952462714938785        
