#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4805.325142502549    All      -1.1504487689022647        1.2209577285167583         -0.3866794014224628        0.7551893874345752         
Zeropoint     AB|PS|PS_i                7391.372509991376    All      0.6610230704239378         -0.11911911023920752       0.48269361025570223        -0.23257757526322936       
Zeropoint     AB|PS|PS_r                6102.436717075457    All      1.1638805607627198         -0.011565145851122338      -0.09117516735531739       -0.3869500666259025        
Zeropoint     AB|PS|PS_z                8494.490559320497    All      0.3040012889677906         -0.08580468020875642       -0.012746919102268883      -0.12754146485132178       
Check         All|All|All               All                  All      0.9784561512521831         1.004468792217672          -0.00790787762434686       0.008120280694121629       
Lambda        AB|PS|PS_g                4805.325142502549    All      -0.00033605806398843264    8.505905902881596e-05      -0.0010962678284790748     8.825030309954898e-05      
Lambda        AB|PS|PS_i                7391.372509991376    All      -0.00015153466617161656    -4.2385291024153034e-05    -0.0008749356217250528     -3.490815970315547e-06     
Lambda        AB|PS|PS_r                6102.436717075457    All      -0.00023225223260607585    -3.047974752430067e-05     -0.0007927971263172853     3.0345041946679845e-05     
Lambda        AB|PS|PS_z                8494.490559320497    All      0.00029859161958115636     -0.00011164699989276147    -0.00020152387031823987    -0.00014262129957899567    
MWEBV         All|All|All               All                  All      -0.6946927966905716        -4.0794375886829215        0.0460255787312458         -1.1004688233570583        
Redshift      All|All|All               All                  All      4.704662774023923          1.3533866575943243         4.334580204744931          -0.8981884782995256        
