#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4278.545290048119     All      -0.39268517807181064       0.05786175348276856       -1.3347380861486189        0.0871947276065858         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7660.578135000118     All      0.7774643188060613         -0.3254034533674677       -0.02444611495686212       -0.3603312345024818        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6385.475221852908     All      1.528207421960469          -0.5036883868264397       -1.0499600318182511        -0.7087102062364852        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5253.0949700973215    All      -0.9202234873325219        1.7721745665773447        2.4111656690212806         0.9846018731484633         
Check         All|All|All                                      All                   All      0.992763075362198          1.000944479866206         0.002021436097548346       0.0027551600160821144      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4278.545290048119     All      -0.0004172896558064029     5.684712276189705e-05     -0.0014441537560966012     8.99959980400865e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7660.578135000118     All      -0.00018127334084099776    5.158399369504928e-05     -9.516313556969062e-05     7.160260096514639e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6385.475221852908     All      -0.00017443943990741255    2.298878743106315e-05     -2.1153852973546615e-05    6.336486953781753e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5253.0949700973215    All      -6.959559592332554e-05     -0.0003128142921570109    -0.00343727129238778       -0.00023261396198397764    
MWEBV         All|All|All                                      All                   All      -0.720975443200635         -4.009051014434917        -0.0019265189825604        -1.071120359718206         
Redshift      All|All|All                                      All                   All      4.942054937078661          1.4999266453494364        8.965727915114101          -0.7211151685207141        
