#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5152.257931535146     All      0.7777472454396417         0.40278644422304666        0.14949353972573098        -0.11546585872122798      
Zeropoint     AB|SDSS|SDSS_z            7428.366946069748     All      0.09781722696025527        -0.000735215337854811      0.054513875038169096       -0.02966906886575926      
Zeropoint     AB|SDSS|SDSS_i            6248.013264959849     All      1.1631555015505892         0.016419032066750106       -0.007088728051758683      -0.3738461319957427       
Zeropoint     AB|SDSS|SDSS_g            3942.9507654587132    All      -1.040769541139186         0.5801925990363443         -0.19654378043175885       0.5192298508978435        
Check         All|All|All               All                   All      0.9979504328113001         0.9986628599882863         0.0003749062803825587      0.00024879131511357233    
Lambda        AB|SDSS|SDSS_r            5152.257931535146     All      0.00016606866761599163     4.9207961289110194e-05     -0.0008226466799689156     -7.47763197011801e-05     
Lambda        AB|SDSS|SDSS_z            7428.366946069748     All      -1.5353287509455022e-05    -7.539866297612558e-07     -1.8836914352764588e-05    3.9148676265032634e-06    
Lambda        AB|SDSS|SDSS_i            6248.013264959849     All      -0.0002549519565960318     -2.5117558946752777e-05    -0.00030079398825058373    6.144157044265441e-05     
Lambda        AB|SDSS|SDSS_g            3942.9507654587132    All      -0.0010328942979224555     0.00040267141608247783     -0.0013558731335798079     0.00040710459110895756    
MWEBV         All|All|All               All                   All      -0.5718088639021603        -3.230054493293011         0.08968930432133475        -0.8618756334523868       
Redshift      All|All|All               All                   All      4.815740352981088          0.22078065024579985        -2.9098013373496556        -1.6265806143166746       
