#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5152.257931535146     All      0.7777309306623843         0.38186880901900366       0.0018202223649343985      -0.12886408833204713      
Zeropoint     AB|SDSS|SDSS_z            7428.366946069748     All      0.09768858161731972        -0.002213401407935578     0.0278766178288814         -0.031297357127914836     
Zeropoint     AB|SDSS|SDSS_i            6248.013264959849     All      1.1411888974198214         0.021717926418496347      -0.022368079793461115      -0.3656467094244395       
Zeropoint     AB|SDSS|SDSS_g            3942.9507654587132    All      -1.0186211128217249        0.597010928254349         -0.006790178005811054      0.5259614940355953        
Check         All|All|All               All                   All      0.9979872968778007         0.9983842622839134        0.0005385823945436297      0.00015333915119386532    
Lambda        AB|SDSS|SDSS_r            5152.257931535146     All      0.00018516658699955488     5.26334674778024e-05      -0.0007680472655388186     -7.744481918585363e-05    
Lambda        AB|SDSS|SDSS_z            7428.366946069748     All      -1.5625725918502386e-05    -5.098132879176798e-07    -1.5003271158403807e-05    4.254222958268203e-06     
Lambda        AB|SDSS|SDSS_i            6248.013264959849     All      -0.00016293296452739515    -8.870737292569474e-06    -7.831503736760114e-05     4.668829547734995e-05     
Lambda        AB|SDSS|SDSS_g            3942.9507654587132    All      -0.0010179091759115362     0.0004077378088863815     -0.0012886934104300487     0.00040687165718859966    
MWEBV         All|All|All               All                   All      -0.5742269745959696        -3.2292870975380694       0.08807058784067179        -0.8609102450840156       
Redshift      All|All|All               All                   All      4.722802898617618          0.289455306351627         -2.490950033413508         -1.555246823076105        
