#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4259.532807154837    All      -0.7842682924107439        0.588938646384829         0.33929342139669105        0.462439784210723        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7414.538269671039    All      0.7337976008958682         -0.25451042374404764      0.509125983803131          -0.2992044836673899      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6090.018079562674    All      1.3425385772980862         -0.09673300844950106      0.1433295850098409         -0.46242196501669025     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5273.200928541826    All      -0.29555835338433545       0.760254528762605         -0.9890635902726181        0.2997756254982384       
Check         All|All|All                                All                  All      0.996509532398875          0.9979497429538853        0.0026853999370448633      0.0005889610248812627    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4259.532807154837    All      -0.0005176858805953544     0.0003266331921896469     -0.000123228965678603      0.0002695233565104341    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7414.538269671039    All      -0.00014298113591359237    -2.682623847484386e-06    -0.00041167228360771297    2.732879778887665e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6090.018079562674    All      -0.0002326333370967792     6.136058316220918e-05     -0.0008129071756580786     5.948717823903309e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5273.200928541826    All      -0.00045377142202692556    0.0005766408188269811     -0.0021542457555028404     0.0002395050724267158    
MWEBV         All|All|All                                All                  All      -0.802140150830998         -3.982642904942413        0.06917407093675314        -1.032907461365824       
Redshift      All|All|All                                All                  All      10.658962883266167         -3.6345266920334574       15.227434990074872         -3.9763293099867645      
