#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4259.532807154837    All      -0.7507985649149486       0.466672820464642          0.7362798855254982         0.42942727351680254        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7414.538269671039    All      0.9930430646490491        -0.508598910389213         0.628695277590452          -0.461078411077645         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6090.018079562674    All      1.241991785887007         0.05262053784136356        -0.2444446488296781        -0.3983257866238793        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5273.200928541826    All      -0.45582204077800026      0.8431866923255926         -1.0346544454484796        0.37695800458539125        
Check         All|All|All                                All                  All      1.0284142448431073        0.8538811402423852         0.08587606883779242        -0.05301891959933053       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4259.532807154837    All      -0.0005928690896389809    0.0002174231766181489      0.00048347143716101937     0.000285513958680192       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7414.538269671039    All      -9.217719001482757e-05    -0.00017971820202180173    -0.00017556899077329337    -3.6349825323425196e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6090.018079562674    All      0.0002128295096427755     -0.0003620257294814478     0.0004656098177247367      -0.0001664712358618679     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5273.200928541826    All      -0.0004747867428358973    0.000511174894919657       -0.0018289823460204086     0.00023954106070057276     
MWEBV         All|All|All                                All                  All      -0.7157328464283519       -4.150955385342758         0.1718539774340222         -1.1112959426729463        
Redshift      All|All|All                                All                  All      9.369085920184697         -2.742855658736598         5.661293831747005          -3.6926203009680636        
