#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4325.321857429189     All      -2.191707966711454        0.9230662920832522       -0.715351527303143        0.9826615959459856       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5411.2052029694505    All      3.1908669795778453        0.07821322498049454      0.7176024284390126        -0.9818704305867121      
Check         All|All|All                           All                   All      0.9991590128663913        1.0012795170637467       0.002250901135869565      0.0007911653592734824    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4325.321857429189     All      -0.0003598769428954656    4.548374950179769e-05    -0.0001476562527587517    0.0001254500930844672    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5411.2052029694505    All      -0.0005617607884666994    0.00032399130797771      -0.006021643803797794     1.980029163651843e-05    
MWEBV         All|All|All                           All                   All      -0.9534236172476929       -4.0259793049989945      0.019248734314913918      -0.9999734889739931      
Redshift      All|All|All                           All                   All      3.325501737388371         -1.2448460974596287      16.82378225166714         -0.7379445167327692      
