#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4325.321857429189     All      -2.1794565198922853       0.9578345217185813       -0.48301505389960836      1.0003641626145343         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5411.2052029694505    All      3.1784522876085557        0.04346116314382087      0.48318957165302406       -0.9996072160092087        
Check         All|All|All                           All                   All      0.9989957677162704        1.0012956848624022       0.00017451775341570386    0.000756946605325659       
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4325.321857429189     All      -0.0008314242146483031    0.0002634970223344374    -0.0003071733638993197    0.00034294413228942467     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5411.2052029694505    All      0.00017555975505065876    6.177093316561521e-05    -0.004353596182200937     -0.00023134576509660322    
MWEBV         All|All|All                           All                   All      -0.9473439545890812       -4.028828028751619       0.014981612168705192      -1.003072180226523         
Redshift      All|All|All                           All                   All      1.7637349616916567        -0.9427030094490085      11.872331681418444        -0.3517682510704685        
