#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3248.6312603935835    All      -0.36088203122916995      0.08618995792097905        0.10598629866189078       0.1503557368295857         
Zeropoint     AB|MEGACAMPSF|r           4142.247494238642     All      -1.075164015328817        0.4840857701175594         -0.4692191711436092       0.4869598563516944         
Zeropoint     AB|MEGACAMPSF|i           5065.18873522782      All      1.7073620214474179        0.40932074713655453        0.37670066513536243       -0.40600432677111364       
Zeropoint     AB|MEGACAMPSF|z           5833.992751892653     All      0.7144004887310829        0.02133920499627351        -0.006391973282244902     -0.22603810556171886       
Check         All|All|All               All                   All      0.9857164636205138        1.0009356801713665         0.007075819371399104      0.005273160848447672       
Lambda        AB|MEGACAMPSF|g           3248.6312603935835    All      -0.0009357020493551042    0.00021886025643447622     0.00021935717710084394    0.00038586783031022674     
Lambda        AB|MEGACAMPSF|r           4142.247494238642     All      -0.0006159625725267094    0.00024736089909522483     -0.0006144992310201782    0.00025379057881829635     
Lambda        AB|MEGACAMPSF|i           5065.18873522782      All      0.0003679986723559981     -4.4164136268018075e-05    -0.0011706228592800174    -0.00018649450825582365    
Lambda        AB|MEGACAMPSF|z           5833.992751892653     All      -7.622112382454243e-05    1.6385710912879547e-07     1.941528169988379e-05     2.5747516132428442e-05     
MWEBV         All|All|All               All                   All      -0.32448025550998616      -2.310749694821368         0.07826244840980015       -0.6435008090811855        
Redshift      All|All|All               All                   All      6.1226579321889885        0.37063970368222954        3.825781764715788         -1.702894503824331         
