#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3248.6312603935835    All      -0.28961847620664594       0.07564994296451744       0.11948269030788161       0.1243119048023919         
Zeropoint     AB|MEGACAMPSF|r           4142.247494238642     All      -1.316565241476602         0.5261776024664044        -0.33870915590659134      0.5851269347178514         
Zeropoint     AB|MEGACAMPSF|i           5065.18873522782      All      1.7647551739787972         0.40644694904123924       0.3049202059585365        -0.42883848753134807       
Zeropoint     AB|MEGACAMPSF|z           5833.992751892653     All      0.8351868435150608         -0.007941600931715698     -0.07198263977403752      -0.2778469270670422        
Check         All|All|All               All                   All      0.9937582998106097         1.0003328935404454        0.013711100585789282      0.0027534249218530427      
Lambda        AB|MEGACAMPSF|g           3248.6312603935835    All      -0.0005871222253781242     0.0001682686886209139     0.0004000730117958874     0.0002639090933599592      
Lambda        AB|MEGACAMPSF|r           4142.247494238642     All      -0.0005019228348516066     0.00015999707716580765    -0.0006010680972935463    0.0001887861832860581      
Lambda        AB|MEGACAMPSF|i           5065.18873522782      All      0.00013235575001199117     -8.304671909833351e-05    -0.0014478355427693722    -0.00013477392132564453    
Lambda        AB|MEGACAMPSF|z           5833.992751892653     All      -0.00015334235325118633    -4.07130313368335e-08     1.2709700997702154e-05    5.05025632757442e-05       
MWEBV         All|All|All               All                   All      -0.25830879238628013       -2.3284198361647412       0.026761875657110856      -0.6731090119913476        
Redshift      All|All|All               All                   All      6.076459178433939          0.7459525895329833        2.9445036364939003        -1.6049216907821795        
