#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4381.054654622793     All      -0.21128908613935996       0.18251542223701733       0.1235006230000538         0.13378634974833378        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4370.1807657889185    All      -0.37083498727824293       0.2300785681080164        -0.19060693578350965       0.1872314023400386         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7824.6480873465625    All      0.1301646855726272         -0.023348047786608817     0.07787486714205794        -0.046528950019796116      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8151.206016722253     All      0.09350774012967726        -0.024497639026588303     -0.002941714948296235      -0.038569509480189626      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5365.6028025646165    All      0.1435059666219669         0.11905455101528517       -0.0009559419691242594     -0.008007289790375167      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6311.636605883462     All      0.32051547723706864        -0.0709455453886676       -0.3258631850371201        -0.1420535110670429        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6522.235737429686     All      0.38102166292901296        -0.04802848956266814      0.0719476418820542         -0.13654505718366114       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4355.33183474228      All      -0.5262912141470175        0.37387572333118513       -0.05732902597241498       0.2906556550227954         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5335.132499982916     All      0.12641852597829106        0.11715831542904453       0.01874345589265836        -0.002179920876857436      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7875.145742323138     All      0.1651729489099401         -0.031304751660243824     0.07254816267789137        -0.06076175970140483       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6368.9651704228345    All      0.5184562687266112         -0.040097586065712676     0.15531643032530695        -0.17500830743900872       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5368.2597973888505    All      0.22600602434449665        0.2119174539678248        0.05814439855499775        -0.001994393411933924      
Check         All|All|All                                      All                   All      0.9963540128850715         0.996377974597884         0.00037877576455518785     2.470814089790708e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4381.054654622793     All      -7.111710254049494e-05     3.05732569765953e-05      -0.00011286848977326172    2.8087093295815433e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4370.1807657889185    All      -0.00021457272036051826    8.888890247562925e-05     -0.0003283138540281125     8.419629473429841e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7824.6480873465625    All      1.4297692351952023e-06     4.4171273988249456e-08    4.1175445986874835e-06     -2.6758773654292104e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8151.206016722253     All      -5.701775524161778e-06     -3.827705289716341e-08    -1.2425223613786996e-05    1.2903071127608458e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5365.6028025646165    All      2.9750303904693736e-05     2.4693133286508623e-05    -0.00019181330745411942    -1.0207033791335335e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6311.636605883462     All      -7.316940989251315e-05     -8.859086008080862e-06    -0.00017131287955056328    1.3303081233226424e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6522.235737429686     All      -8.161569337058e-05        1.3570730575594634e-06    -0.00010745734731953297    2.223163187145389e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4355.33183474228      All      -0.00022516998705606733    6.693872207480411e-05     -0.00044845908648948177    7.513674732306595e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5335.132499982916     All      -1.5387036223679892e-06    1.9909938283275293e-05    -0.0004547682242583321     -1.3307688865716033e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7875.145742323138     All      8.590258152145833e-06      1.482605746383603e-06     4.2033865951865196e-05     -4.3941784050706764e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6368.9651704228345    All      -0.0001369172405021202     -3.080457072123199e-06    -0.00021114195362459677    3.417274781219128e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5368.2597973888505    All      3.3797789861258764e-05     1.4452552772566633e-05    -0.0002669063334054464     -1.8212183962618337e-05    
MWEBV         All|All|All                                      All                   All      -0.837306260013992         -4.0684501708016185       0.031214733116577787       -1.0510969030458162        
Redshift      All|All|All                                      All                   All      3.6263088710857483         -0.19275420277100608      -1.6140981944753336        -1.3160242757328584        
