#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4381.054654622793     All      -0.24949536961162916       0.212511880113464         0.18219008441213713        0.158621267521028          
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4370.1807657889185    All      -0.3623970475626159        0.1968859515173449        -0.33222179143150843       0.16735133995239224        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7824.6480873465625    All      0.1421969087862778         -0.02409919688348694      0.0815268497816879         -0.05052994372953534       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8151.206016722253     All      0.08849671951948518        -0.020407407141043166     0.008264286536152632       -0.03510485974106692       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5365.6028025646165    All      0.13206086229942576        0.07698114777427989       -0.09537765158196265       -0.022197541626017836      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6311.636605883462     All      0.3096974922427408         -0.04197995834305246      -0.08815306390856925       -0.11848678187011963       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6522.235737429686     All      0.31787045941846964        -0.03965531880236739      0.05041173511834973        -0.11420826400964923       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4355.33183474228      All      -0.5990853679738204        0.4098271127968012        -0.09025614726774212       0.32460826990063224        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5335.132499982916     All      0.16092321134644458        0.11842432018331905       0.023567886026287788       -0.012791560513851497      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7875.145742323138     All      0.20056043548997768        -0.03679465770849433      0.07407312582579095        -0.07400881920532204       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6368.9651704228345    All      0.5709701177281852         -0.045872258330081905     0.1222325603444041         -0.19547117761924554       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5368.2597973888505    All      0.2814407850073602         0.19139196762996136       0.0569525066513199         -0.026790333539468414      
Check         All|All|All                                      All                   All      0.9932392066903013         0.9972135828066442        -0.00678961949365231       0.0009915955197760673      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4381.054654622793     All      -3.795261536030492e-05     1.0777715186868063e-05    -0.00010356966689756453    1.12512332841064e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4370.1807657889185    All      -0.00023850963737794825    7.053545113710807e-05     -0.0005198892273598121     7.746588415855443e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7824.6480873465625    All      -4.910156196821448e-06     1.399144392241834e-06     1.304924772287829e-06      2.1133795709663568e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8151.206016722253     All      -6.613599101955918e-06     6.826466761957695e-07     -8.791782518809307e-06     1.9842904146823494e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5365.6028025646165    All      3.468186410867234e-05      1.0910014603101364e-05    -0.000201375190959854      -1.6729723344322792e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6311.636605883462     All      -8.233665502795659e-05     2.132163805148499e-06     -7.305567656835547e-05     2.4254133922879607e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6522.235737429686     All      -6.007467835018872e-05     5.536611909699947e-06     -3.822995286837236e-05     1.9665728572287186e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4355.33183474228      All      -0.0002307367739491029     4.3702966379437304e-05    -0.0006075236882365162     6.228306027366043e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5335.132499982916     All      3.338859181126365e-06      -5.930037150270928e-07    -0.0004546532548991179     -2.1569823719000852e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7875.145742323138     All      -2.237606544720259e-06     2.3037105019083797e-06    1.9769384193718844e-05     2.3614731860482475e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6368.9651704228345    All      -0.00012892001962756783    4.851546419585347e-06     -0.00011758451382039163    3.8326543209693656e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5368.2597973888505    All      6.0702965365239633e-05     -3.459085071051838e-06    -0.00034137402087283463    -3.61336453732475e-05      
MWEBV         All|All|All                                      All                   All      -0.8426787962176405        -4.0653915850685785       0.03574814890514588        -1.0481483037299455        
Redshift      All|All|All                                      All                   All      3.8088405179795917         0.1871920680605932        1.368659876049061          -1.118613044592924         
