#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|SDSS|SDSS_r 6098.400918728517 All 0.6012827408855508 0.06922582427746171 -0.17097093145843267 -0.1809380893217897
Zeropoint AB|SDSS|SDSS_u 3549.2064907048584 All -0.36809687311551864 -0.03510624489346448 -1.336044139106792 0.048844488978639626
Zeropoint AB|SDSS|SDSS_z 8792.486791333165 All -0.08999828497650103 -0.03849726948069865 -0.6437713073291684 -0.011952981631366023
Zeropoint AB|SDSS|SDSS_i 7395.377005884122 All 0.39966481476077453 0.06289616538420795 0.9682666428404891 -0.06648733527928977
Zeropoint AB|SDSS|SDSS_g 4667.020729571698 All -1.51308550732711 0.5597894084536659 -4.658467261921853 0.46731755729559676
Check All|All|All All All -0.9702331097728043 0.6183078837411724 -5.840986996975757 0.2567836400417909
